gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|101653|estExt_Genewise1Plus.C_2_t10243	11722.15	-2.71427	0.74029728	1.676688e-05	8.349658e-05
jgi|Aurli1|10166|gm1.10166_g	177.0623	-0.2086521	0.11955031	0.07350613	0.1312262
jgi|Aurli1|10173|gm1.10173_g	155.7501	-1.575084	1.1142381	0.011132	0.0264988
jgi|Aurli1|101747|estExt_Genewise1Plus.C_2_t10359	843.6605	-0.8095223	0.23362752	0.0001206544	0.0004856962
jgi|Aurli1|101750|estExt_Genewise1Plus.C_2_t10362	753.2235	0.6031046	0.11479813	7.071657e-08	5.681077e-07
jgi|Aurli1|10179|gm1.10179_g	1685.814	0.06183789	0.17467452	0.7089395	0.7881743
jgi|Aurli1|101851|estExt_Genewise1Plus.C_2_t10495	70.1748	-0.6182588	0.32807971	0.02295832	0.04910888
jgi|Aurli1|101858|estExt_Genewise1Plus.C_2_t20003	466.539	0.6399098	0.21067644	0.0009594046	0.003091021
jgi|Aurli1|101936|estExt_Genewise1Plus.C_2_t20088	1187.342	0.5697717	0.18844511	0.00123098	0.003849734
jgi|Aurli1|10200|gm1.10200_g	9.075468	-0.2999127	0.50250521	0.3701112	0.4815114
jgi|Aurli1|102011|estExt_Genewise1Plus.C_2_t20186	195.6246	0.729422	0.17659063	1.13277e-05	5.847191e-05
jgi|Aurli1|102023|estExt_Genewise1Plus.C_2_t20202	667.7552	-0.1760966	0.54542365	0.6038078	0.7004983
jgi|Aurli1|10207|gm1.10207_g	186.5509	-0.3090331	0.2852328	0.2109703	0.3098019
jgi|Aurli1|102094|estExt_Genewise1Plus.C_2_t20300	508.6121	1.039054	0.2280939	4.690421e-07	3.250418e-06
jgi|Aurli1|10212|gm1.10212_g	620.6769	0.7209077	0.24545106	0.001013346	0.00323738
jgi|Aurli1|10213|gm1.10213_g	7.229067	0.01337654	0.49813676	0.967379	0.9792424
jgi|Aurli1|10214|gm1.10214_g	670.7702	-1.09074	0.23746463	3.143893e-07	2.24802e-06
jgi|Aurli1|102159|estExt_Genewise1Plus.C_2_t20392	48.40673	-0.1132243	0.26326525	0.6271953	0.7207521
jgi|Aurli1|10226|gm1.10226_g	1.599951	-0.1299798	0.75305852	0.7305233	0.8042806
jgi|Aurli1|102291|estExt_Genewise1Plus.C_2_t30046	152.501	-0.4217252	0.29385963	0.09445581	0.1609722
jgi|Aurli1|10231|gm1.10231_g	1.164112	-0.366194	1.14406364	0.4032191	0.5140324
jgi|Aurli1|10233|gm1.10233_g	2600.018	-0.0007989989	0.2856506	0.9974244	0.9989148
jgi|Aurli1|10234|gm1.10234_g	124.5873	-0.7762726	0.26852821	0.0009608508	0.003095008
jgi|Aurli1|102414|estExt_Genewise1Plus.C_3_t10085	86.06547	-0.726123	0.26565945	0.00185621	0.005558884
jgi|Aurli1|102422|estExt_Genewise1Plus.C_3_t10093	1346.719	-0.6501805	0.23302049	0.002019402	0.005990744
jgi|Aurli1|102428|estExt_Genewise1Plus.C_3_t10104	830.3295	-2.108715	0.57153837	8.862036e-06	4.670362e-05
jgi|Aurli1|10246|gm1.10246_g	594.7717	-0.6393453	0.20378809	0.0006903679	0.002298946
jgi|Aurli1|10248|gm1.10248_g	3.312232	-2.795833	1.19216887	0.0006943936	0.002309972
jgi|Aurli1|10250|gm1.10250_g	353.7564	-0.4028856	0.15297456	0.005990255	0.01549006
jgi|Aurli1|10251|gm1.10251_g	14.00764	-2.797778	1.39398436	0.001458133	0.004477969
jgi|Aurli1|10253|gm1.10253_g	347.9187	1.289191	0.22082177	1.684395e-10	2.147857e-09
jgi|Aurli1|102543|estExt_Genewise1Plus.C_3_t10262	1368.584	0.01676725	0.20924673	0.9310868	0.9538559
jgi|Aurli1|102562|estExt_Genewise1Plus.C_3_t10292	746.1011	1.187427	0.22845	9.599589e-09	9.033116e-08
jgi|Aurli1|1026|gm1.1026_g	92.78665	-0.4947925	0.20279846	0.008507025	0.02099154
jgi|Aurli1|10260|gm1.10260_g	43.9479	1.758885	0.51941326	2.096199e-05	0.0001019234
jgi|Aurli1|102623|estExt_Genewise1Plus.C_3_t10370	216.1311	1.269135	0.34630165	1.048731e-05	5.457083e-05
jgi|Aurli1|10263|gm1.10263_g	306.6912	0.1434779	0.18114342	0.4015951	0.5122873
jgi|Aurli1|10264|gm1.10264_g	941.0687	-0.0804898	0.23645022	0.7073939	0.7869957
jgi|Aurli1|10268|gm1.10268_g	18.17934	-0.4033443	0.70849345	0.2959586	0.4043731
jgi|Aurli1|102684|estExt_Genewise1Plus.C_3_t10448	658.2433	2.997187	0.30656582	5.184525e-23	3.609695e-21
jgi|Aurli1|1027|gm1.1027_g	242.1313	0.3266359	0.13952768	0.01534214	0.03484287
jgi|Aurli1|102706|estExt_Genewise1Plus.C_3_t10494	576.9384	0.3742008	0.10642568	0.0003316548	0.001195537
jgi|Aurli1|10274|gm1.10274_g	15.19787	-2.507201	0.97997318	0.0004216053	0.001481964
jgi|Aurli1|102757|estExt_Genewise1Plus.C_3_t20053	177.3834	0.001951153	0.16601816	0.9901642	0.9949943
jgi|Aurli1|102789|estExt_Genewise1Plus.C_3_t20098	2283.159	0.4302762	0.21773748	0.0313117	0.06422579
jgi|Aurli1|1028|gm1.1028_g	11.51292	-0.3719004	0.29415477	0.1406732	0.2236475
jgi|Aurli1|10281|gm1.10281_g	173.8983	-0.2660047	0.57683397	0.4466515	0.5562514
jgi|Aurli1|102838|estExt_Genewise1Plus.C_3_t20165	233.7473	0.6283802	0.15995713	3.685716e-05	0.000168597
jgi|Aurli1|10284|gm1.10284_g	817.1198	-1.154378	0.24979557	2.125279e-07	1.559519e-06
jgi|Aurli1|102864|estExt_Genewise1Plus.C_3_t20204	145.0933	0.02772187	0.20855801	0.8859924	0.9221832
jgi|Aurli1|102883|estExt_Genewise1Plus.C_3_t20226	2737.902	0.1704561	0.25392201	0.4521693	0.5616139
jgi|Aurli1|10289|gm1.10289_g	361.1315	0.2639126	0.22867132	0.2055467	0.3035032
jgi|Aurli1|102895|estExt_Genewise1Plus.C_3_t20259	85.66923	-0.9587337	0.44185083	0.003885731	0.01067928
jgi|Aurli1|10290|gm1.10290_g	26.5527	0.001528523	0.23803767	0.9943436	0.9971365
jgi|Aurli1|102913|estExt_Genewise1Plus.C_3_t20277	1372.848	-0.4853493	0.25367982	0.03165025	0.06475726
jgi|Aurli1|10294|gm1.10294_g	304.1405	0.4284641	0.47504971	0.1962368	0.2927463
jgi|Aurli1|102949|estExt_Genewise1Plus.C_3_t20337	201.463	-0.4276222	0.17904465	0.01133965	0.02691963
jgi|Aurli1|103007|estExt_Genewise1Plus.C_4_t10065	1597.412	-0.1241866	0.20982532	0.5227054	0.6264523
jgi|Aurli1|10303|gm1.10303_g	38.19457	-0.6610684	0.60779256	0.08251839	0.1441943
jgi|Aurli1|103031|estExt_Genewise1Plus.C_4_t10095	85.25789	0.4945711	0.19944959	0.007634719	0.01916433
jgi|Aurli1|103046|estExt_Genewise1Plus.C_4_t10111	5091.628	0.6687714	0.18301349	9.737678e-05	0.0004022556
jgi|Aurli1|10307|gm1.10307_g	116.9566	-0.3616185	0.16684736	0.02267606	0.04858921
jgi|Aurli1|10308|gm1.10308_g	190.4195	-1.273395	0.15588987	9.595271e-18	3.348185e-16
jgi|Aurli1|10309|gm1.10309_g	14.93904	-2.953188	1.27231951	0.0006925841	0.002304987
jgi|Aurli1|10310|gm1.10310_g	24.69931	-0.5705192	0.33932986	0.04009122	0.07918924
jgi|Aurli1|103193|estExt_Genewise1Plus.C_4_t10348	34.49143	-0.1206139	0.36639886	0.6767072	0.7632191
jgi|Aurli1|103220|estExt_Genewise1Plus.C_4_t10386	230.1926	-0.07066669	0.31590834	0.7897154	0.8514344
jgi|Aurli1|10323|gm1.10323_g	69.96374	-0.6601723	0.74659659	0.1131708	0.1865768
jgi|Aurli1|10324|gm1.10324_g	18.17055	-2.911044	0.82488721	2.847228e-05	0.0001337908
jgi|Aurli1|10332|gm1.10332_g	65.2682	-0.3429145	0.44018822	0.2815376	0.3888974
jgi|Aurli1|103353|estExt_Genewise1Plus.C_4_t20057	100.1487	-0.369846	0.35242825	0.1928096	0.2887373
jgi|Aurli1|103368|estExt_Genewise1Plus.C_4_t20081	66.09385	0.6765795	0.19022322	0.0001376954	0.0005480469
jgi|Aurli1|103378|estExt_Genewise1Plus.C_4_t20096	128.4286	-0.9963186	0.2920129	7.009671e-05	0.0002985452
jgi|Aurli1|103380|estExt_Genewise1Plus.C_4_t20098	52.05591	0.05509039	0.34814865	0.844633	0.8932402
jgi|Aurli1|10342|gm1.10342_g	1569.843	-0.1250369	0.4087824	0.6819643	0.7670482
jgi|Aurli1|10343|gm1.10343_g	67.8987	-0.1738828	0.42896644	0.5772701	0.6763246
jgi|Aurli1|10345|gm1.10345_g	260.008	-0.1507299	0.2955612	0.552045	0.6531696
jgi|Aurli1|103455|estExt_Genewise1Plus.C_4_t20209	371.7427	-0.6189457	0.27851072	0.01056819	0.02532335
jgi|Aurli1|10346|gm1.10346_g	23.0028	0.534127	0.61069945	0.1526639	0.2391219
jgi|Aurli1|103547|estExt_Genewise1Plus.C_5_t10062	218.0321	0.1130937	0.30213319	0.6602731	0.7487269
jgi|Aurli1|103583|estExt_Genewise1Plus.C_5_t10103	1166.697	-0.1261134	0.1534311	0.3918109	0.502717
jgi|Aurli1|10361|gm1.10361_g	92.35452	-0.8176414	0.84908137	0.07367321	0.1315086
