gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|10000|gm1.10000_g	10.97777	4.403574	1.18745693	2.373383e-05	0.0007744028
jgi|Aurli1|100010|estExt_Genewise1.C_370027	921.2635	0.01759892	0.10552141	0.7167353	0.9014259
jgi|Aurli1|10003|gm1.10003_g	69.73847	0.03825395	0.11649498	0.405424	0.7195402
jgi|Aurli1|10005|gm1.10005_g	15.50435	0.3919836	0.82686631	0.06271288	0.2519047
jgi|Aurli1|10011|gm1.10011_g	383.5978	0.04786366	0.10032364	0.3689939	0.6902345
jgi|Aurli1|100140|estExt_Genewise1Plus.C_1_t10093	301.6642	-0.0645676	0.09956322	0.2380082	0.5572563
jgi|Aurli1|10015|gm1.10015_g	486.7319	-0.04399854	0.10185232	0.4006353	0.7158225
jgi|Aurli1|100167|estExt_Genewise1Plus.C_1_t10132	491.549	-0.1043161	0.12420318	0.06464288	0.2575385
jgi|Aurli1|100178|estExt_Genewise1Plus.C_1_t10143	299.555	0.1023916	0.23033244	0.09431191	0.3255693
jgi|Aurli1|100281|estExt_Genewise1Plus.C_1_t10299	340.6991	-0.01185686	0.1075866	0.8002254	0.939541
jgi|Aurli1|100312|estExt_Genewise1Plus.C_1_t10335	1672.705	-0.1572891	0.29720614	0.04538568	0.2038369
jgi|Aurli1|10032|gm1.10032_g	464.0717	0.02200314	0.10633753	0.6486132	0.8683393
jgi|Aurli1|10034|gm1.10034_g	18.3214	1.275007	1.0646761	0.004583502	0.04024472
jgi|Aurli1|100340|estExt_Genewise1Plus.C_1_t10373	256.2642	-0.005611843	0.10117594	0.9124106	0.9787511
jgi|Aurli1|100463|estExt_Genewise1Plus.C_1_t20024	2362.702	-0.1887272	0.21678817	0.01272939	0.08420023
jgi|Aurli1|10047|gm1.10047_g	692.8548	-0.09213359	0.16457344	0.09161995	0.3202272
jgi|Aurli1|10049|gm1.10049_g	8.418011	1.883137	1.65292722	0.006011829	0.04863907
jgi|Aurli1|100505|estExt_Genewise1Plus.C_1_t20089	200.2229	4.340213	0.85562724	1.045018e-07	1.068801e-05
jgi|Aurli1|100519|estExt_Genewise1Plus.C_1_t20106	280.9637	0.01089063	0.09951445	0.8345308	0.9544221
jgi|Aurli1|10054|gm1.10054_g	301.3836	2.054142	0.60010424	7.496258e-05	0.001819468
jgi|Aurli1|100593|estExt_Genewise1Plus.C_1_t20195	119.6724	-0.007292482	0.11976272	0.8578668	0.9632423
jgi|Aurli1|100667|estExt_Genewise1Plus.C_1_t20291	224.6583	-0.08787779	0.13639558	0.09981674	0.3375278
jgi|Aurli1|10067|gm1.10067_g	235.3326	-0.07607354	0.14095574	0.1359118	0.4061196
jgi|Aurli1|100711|estExt_Genewise1Plus.C_1_t20349	5661.697	-0.04811212	0.12280889	0.3012004	0.6304589
jgi|Aurli1|100753|estExt_Genewise1Plus.C_1_t20402	78.03816	0.03140725	0.15232241	0.4590177	0.7591428
jgi|Aurli1|10076|gm1.10076_g	1.237948	0.3107502	1.02935888	0.2105565	0.5211733
jgi|Aurli1|10079|gm1.10079_g	0.6058528	0.1218345	1.01583034	0.5840615	0.8354759
jgi|Aurli1|100846|estExt_Genewise1Plus.C_1_t30111	99.73665	-0.03151545	0.1245041	0.4640206	0.7625793
jgi|Aurli1|10085|gm1.10085_g	47.74574	0.003707881	0.22801706	0.9485824	0.9891772
jgi|Aurli1|10086|gm1.10086_g	10.42779	4.215869	1.15238899	2.986369e-05	0.0009207455
jgi|Aurli1|1009|gm1.1009_g	1415.153	0.000297577	0.10217838	0.9952814	0.9995952
jgi|Aurli1|10091|gm1.10091_g	20.7915	1.728872	1.4328166	0.005090327	0.04311225
jgi|Aurli1|100914|estExt_Genewise1Plus.C_1_t30199	980.6408	-0.00314407	0.11444837	0.9410558	0.9873215
jgi|Aurli1|100935|estExt_Genewise1Plus.C_1_t30223	4388.427	-0.2745317	0.31905518	0.007758229	0.05882134
jgi|Aurli1|10095|gm1.10095_g	110.593	-0.0006865551	0.1088788	0.9880089	0.9988854
