gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|101653|estExt_Genewise1Plus.C_2_t10243	11722.15	0.0003498399	0.02566173	0.7855214	0.9996259
jgi|Aurli1|10166|gm1.10166_g	177.0623	0.0002571369	0.005317588	0.3997991	0.9996259
jgi|Aurli1|10173|gm1.10173_g	155.7501	0.01471773	0.143573931	0.07048383	0.9996259
jgi|Aurli1|101747|estExt_Genewise1Plus.C_2_t10359	843.6605	-0.0001088808	0.007184398	0.7117421	0.9996259
jgi|Aurli1|101750|estExt_Genewise1Plus.C_2_t10362	753.2235	0.0004204287	0.00606069	0.2134281	0.9996259
jgi|Aurli1|10179|gm1.10179_g	1685.814	-0.0001131242	0.005998836	0.670759	0.9996259
jgi|Aurli1|101851|estExt_Genewise1Plus.C_2_t10495	70.1748	0.0008297405	0.019264833	0.2536135	0.9996259
jgi|Aurli1|101858|estExt_Genewise1Plus.C_2_t20003	466.539	0.003389009	0.034908311	0.0287485	0.967875
jgi|Aurli1|101936|estExt_Genewise1Plus.C_2_t20088	1187.342	-0.0001453876	0.006437712	0.5979715	0.9996259
jgi|Aurli1|10200|gm1.10200_g	9.075468	0.0001602248	0.022505222	0.8856191	0.9996259
jgi|Aurli1|102011|estExt_Genewise1Plus.C_2_t20186	195.6246	0.0001816925	0.006315076	0.5131549	0.9996259
jgi|Aurli1|102023|estExt_Genewise1Plus.C_2_t20202	667.7552	0.000749228	0.034393727	0.6744158	0.9996259
jgi|Aurli1|10207|gm1.10207_g	186.5509	-0.00353516	0.042342637	0.05462617	0.9996259
jgi|Aurli1|102094|estExt_Genewise1Plus.C_2_t20300	508.6121	8.900036e-05	0.006806741	0.7533136	0.9996259
jgi|Aurli1|10212|gm1.10212_g	620.6769	-9.495956e-05	0.007519457	0.7570018	0.9996259
jgi|Aurli1|10213|gm1.10213_g	7.229067	0.003717669	0.060014252	0.1915758	0.9996259
jgi|Aurli1|10214|gm1.10214_g	670.7702	0.0002036108	0.007925622	0.5187698	0.9996259
jgi|Aurli1|102159|estExt_Genewise1Plus.C_2_t20392	48.40673	-3.750526e-05	0.008428609	0.9138667	0.9996259
jgi|Aurli1|10226|gm1.10226_g	1.599951	0.0004262797	0.052018679	0.8874187	0.9996259
jgi|Aurli1|102291|estExt_Genewise1Plus.C_2_t30046	152.501	0.0001736692	0.010204725	0.6729037	0.9996259
jgi|Aurli1|10231|gm1.10231_g	1.164112	0.0005198112	0.09569053	0.9209982	0.9996259
jgi|Aurli1|10233|gm1.10233_g	2600.018	0.0003456354	0.012360683	0.4700998	0.9996259
jgi|Aurli1|10234|gm1.10234_g	124.5873	6.35679e-05	0.007846174	0.8431292	0.9996259
jgi|Aurli1|102414|estExt_Genewise1Plus.C_3_t10085	86.06547	0.0001444935	0.008360704	0.6663077	0.9996259
jgi|Aurli1|102422|estExt_Genewise1Plus.C_3_t10093	1346.719	-7.882316e-05	0.007128742	0.7884634	0.9996259
jgi|Aurli1|102428|estExt_Genewise1Plus.C_3_t10104	830.3295	5.556447e-05	0.016573898	0.9422761	0.9996259
jgi|Aurli1|10246|gm1.10246_g	594.7717	0.0003555708	0.009003673	0.3090158	0.9996259
jgi|Aurli1|10248|gm1.10248_g	3.312232	-0.0006189463	0.037378292	0.7591699	0.9996259
jgi|Aurli1|10250|gm1.10250_g	353.7564	0.0005826868	0.009498193	0.140065	0.9996259
jgi|Aurli1|10251|gm1.10251_g	14.00764	0.00403118	0.074275905	0.2951819	0.9996259
jgi|Aurli1|10253|gm1.10253_g	347.9187	-0.0001566345	0.00696638	0.5865816	0.9996259
jgi|Aurli1|102543|estExt_Genewise1Plus.C_3_t10262	1368.584	0.0007211296	0.013948917	0.1599519	0.9996259
jgi|Aurli1|102562|estExt_Genewise1Plus.C_3_t10292	746.1011	0.0001851624	0.00746828	0.5399141	0.9996259
jgi|Aurli1|1026|gm1.1026_g	92.78665	-0.0007196175	0.013253818	0.1448038	0.9996259
jgi|Aurli1|10260|gm1.10260_g	43.9479	0.0004228372	0.017308881	0.5643851	0.9996259
jgi|Aurli1|102623|estExt_Genewise1Plus.C_3_t10370	216.1311	-0.000485661	0.014112991	0.3623982	0.9996259
jgi|Aurli1|10263|gm1.10263_g	306.6912	0.0003784198	0.008597915	0.2697997	0.9996259
jgi|Aurli1|10264|gm1.10264_g	941.0687	0.0004888244	0.012243673	0.2795099	0.9996259
jgi|Aurli1|10268|gm1.10268_g	18.17934	0.004953475	0.080432551	0.2300392	0.9996259
jgi|Aurli1|102684|estExt_Genewise1Plus.C_3_t10448	658.2433	0.001140174	0.021519602	0.1558075	0.9996259
jgi|Aurli1|1027|gm1.1027_g	242.1313	-8.976155e-05	0.005171389	0.7388481	0.9996259
jgi|Aurli1|102706|estExt_Genewise1Plus.C_3_t10494	576.9384	0.0004139568	0.00568757	0.2275955	0.9996259
jgi|Aurli1|10274|gm1.10274_g	15.19787	0.0006544899	0.031938177	0.6893317	0.9996259
jgi|Aurli1|102757|estExt_Genewise1Plus.C_3_t20053	177.3834	0.0002167506	0.006400078	0.4456214	0.9996259
jgi|Aurli1|102789|estExt_Genewise1Plus.C_3_t20098	2283.159	0.0007287208	0.014228105	0.1628684	0.9996259
