gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|101653|estExt_Genewise1Plus.C_2_t10243	11722.15	-2.333438	0.56710525	1.386525e-06	4.495446e-06
jgi|Aurli1|10166|gm1.10166_g	177.0623	-0.09149652	0.09082698	0.3107157	0.3811974
jgi|Aurli1|10173|gm1.10173_g	155.7501	-1.733035	0.80138222	0.002401743	0.004730126
jgi|Aurli1|101747|estExt_Genewise1Plus.C_2_t10359	843.6605	-0.2547023	0.17746761	0.1414037	0.1911419
jgi|Aurli1|101750|estExt_Genewise1Plus.C_2_t10362	753.2235	0.8844255	0.08833307	6.726368e-24	1.140023e-22
jgi|Aurli1|10179|gm1.10179_g	1685.814	-0.2206697	0.13918203	0.1075598	0.1498321
jgi|Aurli1|101851|estExt_Genewise1Plus.C_2_t10495	70.1748	-1.068965	0.26569083	1.805922e-05	5.00034e-05
jgi|Aurli1|101858|estExt_Genewise1Plus.C_2_t20003	466.539	0.5352943	0.16405074	0.0008569233	0.001824052
jgi|Aurli1|101936|estExt_Genewise1Plus.C_2_t20088	1187.342	0.4327855	0.14741628	0.002824107	0.005488338
jgi|Aurli1|10200|gm1.10200_g	9.075468	0.3875693	0.43946314	0.3031227	0.3729619
jgi|Aurli1|102011|estExt_Genewise1Plus.C_2_t20186	195.6246	0.7042804	0.13612711	1.493607e-07	5.492236e-07
jgi|Aurli1|102023|estExt_Genewise1Plus.C_2_t20202	667.7552	3.366625	0.64273176	1.06325e-08	4.47319e-08
jgi|Aurli1|10207|gm1.10207_g	186.5509	-1.153547	0.24536077	6.629834e-07	2.240156e-06
jgi|Aurli1|102094|estExt_Genewise1Plus.C_2_t20300	508.6121	-0.7429771	0.17166209	9.17755e-06	2.656706e-05
jgi|Aurli1|10212|gm1.10212_g	620.6769	0.1663264	0.18956507	0.3670294	0.4398066
jgi|Aurli1|10213|gm1.10213_g	7.229067	-0.4841505	0.49367227	0.2331778	0.2966227
jgi|Aurli1|10214|gm1.10214_g	670.7702	-2.189209	0.18063585	2.640905e-35	9.529105e-34
jgi|Aurli1|102159|estExt_Genewise1Plus.C_2_t20392	48.40673	-0.7339522	0.22275756	0.0005957193	0.001305529
jgi|Aurli1|10226|gm1.10226_g	1.599951	0.8729976	0.82926658	0.1019399	0.1428181
jgi|Aurli1|102291|estExt_Genewise1Plus.C_2_t30046	152.501	-0.6459458	0.24137807	0.005010005	0.009294267
jgi|Aurli1|10231|gm1.10231_g	1.164112	-0.663935	1.1404352	0.2238736	0.2863836
jgi|Aurli1|10233|gm1.10233_g	2600.018	-0.1240458	0.24169741	0.5912649	0.6560271
jgi|Aurli1|10234|gm1.10234_g	124.5873	-0.7804411	0.20480635	7.899713e-05	0.0001988673
jgi|Aurli1|102414|estExt_Genewise1Plus.C_3_t10085	86.06547	-0.8492519	0.20420594	1.632086e-05	4.550448e-05
jgi|Aurli1|102422|estExt_Genewise1Plus.C_3_t10093	1346.719	0.1360737	0.18105018	0.440844	0.5138907
jgi|Aurli1|102428|estExt_Genewise1Plus.C_3_t10104	830.3295	-1.254448	0.39292005	0.0002645035	0.0006153078
jgi|Aurli1|10246|gm1.10246_g	594.7717	-1.032372	0.15972717	3.692474e-11	2.038696e-10
jgi|Aurli1|10248|gm1.10248_g	3.312232	-3.695299	0.78450416	1.264511e-07	4.694041e-07
jgi|Aurli1|10250|gm1.10250_g	353.7564	-0.5127425	0.11882997	1.280321e-05	3.624886e-05
jgi|Aurli1|10251|gm1.10251_g	14.00764	-1.343516	0.82426745	0.01608721	0.02699404
