sample	sizeFactor
WT70R1D3	1.32331441198157
X3270R1D3	1.22248409537053
WT70R1D4	1.33505635629006
X3270R1D4	1.09130449122107
WT70R3D3	1.56392450204082
X3270R3D3	1.07446100917834
WT70R3D4	1.74369780353474
X3270R3D4	0.806575735559357
WT70R4D3	0.60763203357297
X3270R4D3	0.63803525362232
WT70R4D4	0.691155382671418
X3270R4D4	0.578953145488294
WTG0R1D3	1.52016858210596
X32G0R1D3	1.32621155656973
WTG0R1D4	1.33188186441492
X32G0R1D4	0.115449195837169
WTG0R3D3	1.36275958370267
X32G0R3D3	1.65702292551439
WTG0R3D4	1.11153530127663
X32G0R3D4	1.47075291822773
WTG0R4D3	1.16882351567178
X32G0R4D3	1.28296131029329
WTG0R4D4	1.39694076492478
X32G0R4D4	0.967220380491324
WT7005R1D3	1.06457494464419
WT7005R1D4	0.87880133942767
WT7005R3D3	1.61630653653182
WT7005R3D4	1.59872835460653
WT7005R4D3	0.197317449495771
WT7005R4D4	0.702801599897509
WT701R1D4	1.35202961457879
X32701R1D4	1.48772323809324
WT701R3D4	1.04629229714732
X32701R3D4	1.07983661646952
WT701R4D4	0.74740922274219
X32701R4D4	0.802065271969544
