Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
WT70R1D3	29025534.0	278.0	26063994.0	89.8	277.86	2380706.0	2366012.0	2310621.0	60909.0	2520.0	6656.0	0.2	0.01	1.5	0.01	1.5	834390.0	2.87	31379.0	0.11	0.0	6.28	0.94	0	1822914	272857
WT70R1D4	25476630.0	277.0	23613964.0	92.69	276.55	2102298.0	2088444.0	2029538.0	64534.0	2514.0	5712.0	0.2	0.01	1.55	0.01	1.42	508071.0	1.99	14942.0	0.06	0.0	4.58	0.68	0	1166466	173187
WT70R3D3	28201709.0	275.0	26174797.0	92.81	274.32	2526620.0	2511030.0	2458698.0	60068.0	1825.0	6029.0	0.2	0.01	1.53	0.01	1.41	613903.0	2.18	21920.0	0.08	0.0	4.3	0.63	0	1213323	177766
WT70R3D4	31994308.0	277.0	29509990.0	92.24	276.76	2616279.0	2599865.0	2500219.0	93890.0	4453.0	17717.0	0.2	0.01	1.54	0.01	1.41	726365.0	2.27	27122.0	0.08	0.0	4.92	0.49	0	1574064	156767
WT70R4D3	12141759.0	282.0	10963909.0	90.3	281.6	921420.0	915189.0	886797.0	28453.0	614.0	5556.0	0.21	0.01	1.54	0.01	1.43	341406.0	2.81	14423.0	0.12	0.0	5.93	0.84	0	720027	101994
WT70R4D4	16134953.0	278.0	13937799.0	86.38	278.48	1576800.0	1567754.0	1528458.0	44148.0	535.0	3659.0	0.2	0.01	1.53	0.01	1.4	861052.0	5.34	51283.0	0.32	0.0	6.03	1.93	0	973299	311520
WTG0R1D3	31872534.0	282.0	28564934.0	89.62	281.13	2568788.0	2554702.0	2496514.0	62101.0	1428.0	8745.0	0.22	0.0	1.54	0.01	1.61	521552.0	1.64	3298.0	0.01	0.0	8.52	0.21	0	2715811	66939
WTG0R1D4	27298677.0	280.0	24517142.0	89.81	279.75	2156716.0	2142983.0	2087103.0	60894.0	1867.0	6852.0	0.21	0.0	1.53	0.01	1.61	407880.0	1.49	1077.0	0.0	0.0	8.62	0.07	0	2353466	19112
WTG0R3D3	35584251.0	279.0	28570369.0	80.29	278.82	2891855.0	2877413.0	2826858.0	54215.0	1914.0	8868.0	0.23	0.0	1.55	0.02	1.79	716770.0	2.01	7190.0	0.02	0.0	17.42	0.26	0	6197423	92499
WTG0R3D4	31037952.0	275.0	25244642.0	81.33	274.32	2653143.0	2637657.0	2592897.0	50759.0	3025.0	6462.0	0.21	0.01	1.51	0.02	1.82	612927.0	1.97	3853.0	0.01	0.0	16.44	0.24	0	5102048	74482
WTG0R4D3	26582570.0	279.0	21720042.0	81.71	281.68	1892063.0	1881051.0	1841434.0	43358.0	747.0	6524.0	0.22	0.01	1.56	0.01	1.98	545981.0	2.05	6530.0	0.02	0.0	15.99	0.22	0	4251522	58495
WTG0R4D4	29217812.0	278.0	25336581.0	86.72	281.33	2190182.0	2178129.0	2125010.0	57654.0	1200.0	6318.0	0.21	0.0	1.52	0.01	1.69	429083.0	1.47	1706.0	0.01	0.0	11.69	0.11	0	3418277	32165
