Sample	5.0	10.0	15.0	20.0	25.0	30.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0	95.0	100.0
32701R1D4	4665.0	6115.0	7323.0	8322.0	9193.0	10001.0	10724.0	11387.0	12060.0	12604.0	13151.0	13627.0	14100.0	14561.0	14991.0	15408.0	15764.0	16159.0	16505.0	16822.0
32701R3D4	4197.0	5413.0	6378.0	7232.0	7912.0	8554.0	9153.0	9681.0	10193.0	10666.0	11129.0	11596.0	12011.0	12378.0	12761.0	13124.0	13461.0	13778.0	14085.0	14401.0
32701R4D4	3685.0	4762.0	5586.0	6176.0	6725.0	7232.0	7704.0	8120.0	8522.0	8899.0	9261.0	9564.0	9882.0	10160.0	10458.0	10728.0	10983.0	11230.0	11444.0	11648.0
3270R1D3	4542.0	5949.0	6962.0	7795.0	8559.0	9292.0	9948.0	10534.0	11095.0	11616.0	12106.0	12542.0	12962.0	13363.0	13749.0	14089.0	14396.0	14697.0	14974.0	15223.0
3270R1D4	4086.0	5398.0	6378.0	7200.0	7877.0	8520.0	9069.0	9624.0	10158.0	10658.0	11100.0	11514.0	11897.0	12285.0	12625.0	12957.0	13245.0	13548.0	13860.0	14102.0
3270R3D3	3494.0	4536.0	5297.0	5951.0	6498.0	7005.0	7405.0	7837.0	8189.0	8512.0	8782.0	9077.0	9309.0	9553.0	9771.0	9991.0	10163.0	10346.0	10469.0	10597.0
3270R3D4	3369.0	4380.0	5166.0	5768.0	6279.0	6758.0	7169.0	7592.0	7964.0	8299.0	8622.0	8889.0	9151.0	9439.0	9685.0	9892.0	10107.0	10312.0	10471.0	10643.0
3270R4D3	3363.0	4361.0	5065.0	5658.0	6163.0	6568.0	6929.0	7309.0	7670.0	7977.0	8259.0	8509.0	8753.0	8984.0	9191.0	9405.0	9581.0	9734.0	9897.0	10048.0
3270R4D4	3067.0	4010.0	4649.0	5196.0	5637.0	6033.0	6409.0	6707.0	7026.0	7338.0	7611.0	7874.0	8102.0	8301.0	8509.0	8710.0	8896.0	9089.0	9253.0	9395.0
32G0R1D3	4586.0	5956.0	6972.0	7839.0	8611.0	9301.0	9939.0	10515.0	11052.0	11593.0	12068.0	12546.0	12977.0	13361.0	13761.0	14136.0	14460.0	14781.0	15066.0	15317.0
