Sample	scaffold_1	scaffold_2	scaffold_3	scaffold_4	scaffold_5	scaffold_6	scaffold_7	scaffold_8	scaffold_9	scaffold_10	scaffold_11	scaffold_12	scaffold_13	scaffold_14	scaffold_15	scaffold_16	scaffold_17	scaffold_18	scaffold_19	scaffold_20	scaffold_21	scaffold_22	scaffold_23	scaffold_24	scaffold_25	scaffold_26	scaffold_27	scaffold_28	scaffold_29	scaffold_30	scaffold_31	scaffold_32	scaffold_33	scaffold_34	scaffold_35	scaffold_36	scaffold_37	scaffold_38	scaffold_39	scaffold_43	scaffold_45	scaffold_59	scaffold_93	scaffold_154	scaffold_155	scaffold_176
32701R1D4	0.08388471499466445	0.05167774826216877	0.05343165637562347	0.03188247755773062	0.03862215707130453	0.03733785491487958	0.04169357948200449	0.034421566592831764	0.03552810628099719	0.040355821878101245	0.03459941850132689	0.027184867690016004	0.023731654726941793	0.05252088645648549	0.02794935810382646	0.020685991104095285	0.024437159305372547	0.027578553793725355	0.06710724727968269	0.02659988382905932	0.020330495980988107	0.017629132545092564	0.01605942659686075	0.0076429811730391	0.022576548990844332	0.009620460062087622	0.008084845750326211	0.00608139937954116	0.01072704447037085	0.008986254258137817	0.005817371804043241	0.005398299580128776	0.006186894137434045	0.02683213030750656	0.0030167147999232364	0.003023586791358678	0.0013406345981484499	0.0016852776393358872	0.012900829769860435	0.001926170007224684	0.00379870568649987	0.0035441587759757922	0.004909255278561465	0.0020973138980496394	0.002467208899088786	0.0017300722906666939
32701R3D4	0.09214164434434434	0.055333754983721034	0.05520031308034323	0.03658461415055293	0.04198099184382399	0.04045968169910201	0.04560829333681773	0.03788711660180081	0.04048839857379966	0.04394452575973088	0.039628220513479855	0.03191002212286045	0.027483638877593204	0.03970253825577728	0.03665142566001068	0.023348046690056197	0.02881902386090552	0.02811114384383156	0.05060354036201011	0.02452197723349518	0.02298362210428202	0.01908348011573766	0.017279026013765547	0.009083165578420543	0.014620410912114551	0.012122223928956666	0.009418189075243584	0.008557769527540197	0.011717068471151625	0.011804647895597438	0.006225584996646444	0.00476905384257039	0.005421009406396442	0.00651398130448949	0.001293748533593018	0.0040024320194400565	0.0013441187770185392	0.0020870547126091853	0.0038304728783808964	0.00046566817134101383	0.001037007196947873	0.0009616430093215942	0.0012914342795003553	0.000542763018549632	0.0005571516418214049	0.00040278083186648194
32701R4D4	0.09211990472887288	0.053577431651527174	0.0580513983145	0.033266298969707675	0.04930281346091567	0.03979661124677343	0.046314915515118474	0.038769822983835925	0.03635199490032292	0.04257436903995815	0.035910752338495	0.029956229255453253	0.028121643612756417	0.03926577444746468	0.02732921855450593	0.024599389278887503	0.022905302514088836	0.03668022243179878	0.05561648987375494	0.02370225645493873	0.02144182645125196	0.01768541594732915	0.027289157352998035	0.008774101872115846	0.013965857608100934	0.008346135406136476	0.008012343818895627	0.005767777843971351	0.013308884958566417	0.00979605070050427	0.006466442092749549	0.010046614365232591	0.007259022426974873	0.006548298410817684	0.001474759450341682	0.002858449541441579	0.0016922234531006257	0.0017997003070168334	0.004307252024656375	0.000546079724171899	0.0012158626416304515	0.0011126041183639772	0.0015384484793539112	0.000602626058341635	0.0006729143162844282	0.00046396461281236935
3270R1D3	0.09464054628242194	0.06017064974074843	0.05542091927251946	0.033180558802152114	0.039521269701068895	0.04163120024032613	0.04533634561732205	0.03153384494903068	0.036274224435022276	0.039036547716160795	0.03128803369897961	0.030506393523364636	0.03727664188937361	0.030483163095793814	0.02509148867715634	0.020232663416158075	0.020857787360781126	0.03494220936147416	0.10190447554084944	0.023579197644164114	0.019189764246250844	0.018475639338613847	0.020885232591666483	0.010997794109171326	0.011537445763322836	0.008788060948173132	0.007367887872273973	0.006968481347946638	0.010220996056433982	0.007433501577826324	0.004960098162965233	0.006084764517174481	0.005274738131329507	0.008403553263469277	0.0020742517391062624	0.0035660764713525504	0.0015248374242541032	0.002937757117704989	0.003068298398037556	0.0004072676226023552	0.0007793073309897197	0.0007309841208951442	0.0010008687591799396	0.00043418355260635205	0.000499150334859262	0.00035584702216500373
3270R1D4	0.09384925881443891	0.06554434726241283	0.056356902596898246	0.032577890210964605	0.03997909733550607	0.04179362973534016	0.04332835501251766	0.03307991813556379	0.03799310589047615	0.03869287284786563	0.03364629194899689	0.03164673803716224	0.028084878943609493	0.03501987085541793	0.025340559282766493	0.020568260859533248	0.02094311357623509	0.04552781448538617	0.08392311467899796	0.022287531012497728	0.01993617624447278	0.019833482805727738	0.022112453865135134	0.010345259024158848	0.01060916382950766	0.008677053941895229	0.007560078640642185	0.006932565400175641	0.010977516961478802	0.008725779162093035	0.0058823408341068745	0.005981892806898746	0.005811668682801741	0.008469132226360171	0.0023565761010919412	0.002790921683362114	0.0017747766065646456	0.002883584096339445	0.002384784298823174	0.0003102685097611305	0.0006228335394604413	0.0005787230244214313	0.0007840015754993387	0.0003361801875541835	0.00036055363029430444	0.00026334150800548436
3270R3D3	0.09453391760846439	0.0687566752068308	0.05033739035843955	0.03216319299623656	0.040794322948027845	0.041638698577923294	0.04567084740789638	0.0336329326911437	0.03590500590945157	0.04121955349908764	0.03196161990821014	0.03174267377851158	0.03211284062122071	0.03189130980170652	0.025373114697802648	0.019839915436801456	0.02029534432583372	0.03553385753896436	0.08402015194311746	0.024392797470642175	0.01891371310780617	0.01702639877850831	0.02137482857617356	0.01039640766068035	0.014293956314685134	0.008393174900790444	0.007530739159778196	0.006527912228906935	0.010739386183936474	0.007304726030077414	0.004858333478381327	0.006835555752151935	0.005261054325730332	0.009982660984624171	0.0034633862001643995	0.003084123866711669	0.0015822554958684878	0.003935206603090713	0.004379282487489774	0.0008039366854382763	0.0014999380328796102	0.0014114696624813886	0.001968650264508649	0.0008487270697116363	0.0010608679401487918	0.0007121638381871627
3270R3D4	0.09343777591380742	0.06639523829134969	0.05406245042131349	0.031439712056546075	0.04108817408116195	0.0406335923719243	0.04415340325481199	0.03244330196615278	0.03551002555979496	0.03899205889543943	0.032701940886653284	0.03159092650737887	0.0290667816327442	0.034614381429155544	0.025325205773813277	0.02019527898822901	0.021141281597208284	0.03876494181058713	0.08047979917775622	0.02499643337554201	0.01915314694440636	0.017703524798075188	0.022859378032825457	0.010156808099617342	0.01331201525837566	0.008866671845005709	0.007433905366027767	0.0066175697568318015	0.010967444060471183	0.008206103454525581	0.0051168940530946574	0.007756700084330468	0.005736035731234473	0.01073775518307427	0.003266385055383031	0.002994817664252831	0.0015664301833913986	0.003842362323517253	0.005682792674770246	0.0007300415431380838	0.0014505257491171193	0.0013617641523745378	0.0018497096567855963	0.0007986110930100937	0.0008593610033883367	0.0006405153594227786
3270R4D3	0.09862720574411936	0.06295048070907806	0.053668946668583906	0.033159166698684954	0.04243140579814995	0.042465715695681576	0.04380941293109626	0.033362241884948934	0.0375339998876897	0.04108055531318747	0.03239192714239717	0.031516917670766594	0.03439500835109759	0.03354938288659148	0.025387439484900926	0.020902180683116486	0.021042718478124313	0.035662718372753095	0.06360660931131212	0.025307768561793776	0.018650020755132148	0.01798870925951317	0.024193103813397333	0.011014933457859843	0.014282597818652959	0.008818329006902373	0.00785962223217966	0.007004444823666616	0.010813614458610591	0.007702122240639341	0.005106692002020215	0.00859919113452808	0.005101209271827895	0.011503967290717013	0.003244962431090541	0.003498367367166833	0.0016106376616532667	0.0027574277822703325	0.005355770721304129	0.0007976087414936833	0.0014727555640823432	0.0013749230972131326	0.0019158286977492066	0.000826607244151501	0.0010163182755717	0.0006927943603951901
3270R4D4	0.09768281303543001	0.06419318599772807	0.05543554297968306	0.03260699992625388	0.042259739431912906	0.04189449837630577	0.04211247982159486	0.033475110450523676	0.037773416080982086	0.0402621267591184	0.03313820465642797	0.033079719560007825	0.03190499265912006	0.03502280197583779	0.02501096304760859	0.020958648431289667	0.02084795945405535	0.039015561362707396	0.07358625539748347	0.02322830753110772	0.01915096110741088	0.0193978361444875	0.026535902614172144	0.010858221099254606	0.011832553958550025	0.008521469311260056	0.008003617980189046	0.0069924818501948685	0.010406671488468968	0.008029812975642144	0.005380861508268755	0.0069590285611526356	0.005361180366036676	0.00987337301975954	0.0022230850492877684	0.003361287844614823	0.0016777824796424638	0.002427201292720699	0.00299632595414573	0.00034849114732451623	0.0007227585423950647	0.0006671116248783596	0.0009165456757203798	0.00035854109229408837	0.000423633096981271	0.0002873539820929522
32G0R1D3	0.09600787390642816	0.05226987206850633	0.04954418530368139	0.0379155927078717	0.03972599087424423	0.041023950335827224	0.04648109465601002	0.041940644159247066	0.042733584503868556	0.04443617381073984	0.033759949016189825	0.0282349229619137	0.028998859463207436	0.03699374639290461	0.028682365327876363	0.022552136984627418	0.028636854775264526	0.02891284095886781	0.033804803797150194	0.030930931375426515	0.02264128445656119	0.014431248216184005	0.023275153334869587	0.009562818212022853	0.020174308976406593	0.010638302456762306	0.007840799327935234	0.006774833140308509	0.01174631297541454	0.009066530226192318	0.005612112529590993	0.005971381712930639	0.006312738962018774	0.010718493961570319	0.0030909890473580864	0.003369898098893625	0.001096581355583803	0.0021269859833680945	0.012014486108198913	0.0013394979116202305	0.002746933766332485	0.002566053208524874	0.003573112365516926	0.0014447398935143003	0.0017029827698621664	0.0011545328332406228
32G0R1D4	0.0480191723256747	0.029955937224512848	0.0266889614012716	0.01923818345778895	0.02037622111832836	0.02105590883361442	0.023974508360904697	0.02094821050119416	0.02524502002658076	0.02401672812971733	0.01610001585137428	0.015580232350303742	0.014543572697512042	0.019607669638146245	0.017398716165089916	0.01230289119459951	0.01373912177318984	0.019471909064179862	0.010815718799148425	0.06608961259696326	0.012729133890516301	0.0077257120667385834	0.010983586622451361	0.005826960128611023	0.1347585496927943	0.0054440748599479255	0.0036494818724239937	0.0038553980502556823	0.006551269336085287	0.004285685753962907	0.002895340732495292	0.0029448920779280865	0.002726588063738199	0.005720273048138374	0.021678840033340977	0.0018692992251534764	0.0008486931970300541	0.0013643052838167075	0.07642802047684069	0.022740528171835975	0.030302417423062056	0.028015218330559553	0.04151378854671213	0.02150490469835239	0.031483433291374804	0.022148566563004915
32G0R3D3	0.09584648558278647	0.0533395516104575	0.050651288055522534	0.041720358615208154	0.03939118150889898	0.04199962455019485	0.04469738550614637	0.042637931564057256	0.04035587850483021	0.04407895044281859	0.03485137845323724	0.028887555051843785	0.02772273208831379	0.03666456539189717	0.030207391328143932	0.022940775553230038	0.029167047835580873	0.02900001153903977	0.04377781628829379	0.0297567638471086	0.024848195462804194	0.015421162928625231	0.019287013470112444	0.010596422719216916	0.017795331703762813	0.010287923541929278	0.007541435474392837	0.007192254754534302	0.011379701207831975	0.00968352285462596	0.005664836748372394	0.005781784840826205	0.005186926924289517	0.008830495936889346	0.002469581359553863	0.003852209369963438	0.0012827994369855988	0.0026281637593302326	0.007013029118471957	0.000997801790238919	0.0019849114427092046	0.0018424353042109042	0.002490058240089549	0.0010881632091463964	0.0011862374855673154	0.0008510760184832128
