Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
WT70R1D4_1	WT70R1D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25476630.0	0.0	20-150	51.0	39.38425887863274	138.31045609250518	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WT70R1D4_2	WT70R1D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25476630.0	0.0	20-150	51.0	40.98478838322444	138.2934633034275	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
WT70R3D3_1	WT70R3D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28201709.0	0.0	20-150	51.0	39.60350048901504	137.32961931491457	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WT70R3D3_2	WT70R3D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28201709.0	0.0	20-150	51.0	41.14976140193552	137.29024989230263	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
WT70R3D4_1	WT70R3D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31994308.0	0.0	20-150	51.0	36.21529879719028	138.60008539643988	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WT70R3D4_2	WT70R3D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31994308.0	0.0	20-150	51.0	38.16670481447258	138.54144846639596	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
WT70R4D3_1	WT70R4D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12141759.0	0.0	20-150	51.0	47.9649830996259	141.0237268751587	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
WT70R4D3_2	WT70R4D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12141759.0	0.0	20-150	52.0	50.09547427561439	140.96561256075006	pass	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
WT70R4D4_1	WT70R4D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16134953.0	0.0	20-150	51.0	37.579381781353625	138.82865218138534	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
WT70R4D4_2	WT70R4D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16134953.0	0.0	20-150	51.0	39.40621817227562	138.80321882561418	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
