Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
32G0R1D4	5142257.0	0.0	5142257.0	1.0	2571474.0	2570783.0	5142257.0	5141384.0	0.0	5141384.0	5142257.0	2416560.0	284792.0	0.0	2768729.0	0.0	631664626.0	315893256.0	315771370.0	631664626.0	622655046.0	0.0	301812624.0	2193669.0	0.003523089	122.0	123.0	123.0	150.0	150.0	150.0	36.0	236.8	834.5	1686793.0	883899.0	0.0	0.0	100.0	100.0	99.98302301888063	0.0	99.98302301888063	100.0	46.994150622965755	5.538268507388876	0.0
32G0R3D3	62586350.0	0.0	62586350.0	1.0	31297368.0	31288982.0	62586350.0	62572434.0	0.0	62572434.0	62586350.0	15567896.0	293497.0	0.0	3537003.0	0.0	8755813898.0	4378794095.0	4377019803.0	8755813898.0	8713014834.0	0.0	2181462398.0	19351744.0	0.002221016	139.0	140.0	140.0	150.0	150.0	150.0	35.9	239.6	154.2	26234212.0	5052005.0	0.0	0.0	100.0	100.0	99.97776511971061	0.0	99.97776511971061	100.0	24.874267312281354	0.4689473024069945	0.0
32G0R3D4	53665819.0	0.0	53665819.0	1.0	26837191.0	26828628.0	53665819.0	53650954.0	0.0	53650954.0	53665819.0	14334060.0	251176.0	0.0	2982645.0	0.0	7542296581.0	3771983233.0	3770313348.0	7542296581.0	7501592400.0	0.0	2021293456.0	17414698.0	0.002321467	140.0	141.0	141.0	150.0	150.0	150.0	35.9	236.1	147.8	22620687.0	4204790.0	0.0	0.0	100.0	100.0	99.97230080472637	0.0	99.97230080472637	100.0	26.709850454345997	0.4680372063268055	0.0
32G0R4D3	45300439.0	0.0	45300439.0	1.0	22652132.0	22648307.0	45300439.0	45292728.0	0.0	45292728.0	45300439.0	11171843.0	250091.0	0.0	2901901.0	0.0	6316607621.0	3158621760.0	3157985861.0	6316607621.0	6283986771.0	0.0	1562746529.0	13739274.0	0.002186395	139.0	139.0	139.0	150.0	150.0	150.0	35.9	208.8	118.5	18545126.0	4101238.0	0.0	0.0	100.0	100.0	99.98297808990327	0.0	99.98297808990327	100.0	24.661666082308827	0.5520719125922819	0.0
32G0R4D4	36529507.0	0.0	36529507.0	1.0	18265920.0	18263587.0	36529507.0	36523704.0	0.0	36523704.0	36529507.0	8685402.0	171445.0	0.0	2000328.0	0.0	5200105754.0	2600291915.0	2599813839.0	5200105754.0	5171518819.0	0.0	1241376819.0	12292210.0	0.002376905	142.0	142.0	142.0	150.0	150.0	150.0	35.9	242.7	146.1	15776678.0	2485174.0	0.0	0.0	100.0	100.0	99.98411421210804	0.0	99.98411421210804	100.0	23.776400814826218	0.4693329148953475	0.0
WT7005R1D3	48586463.0	0.0	48586463.0	1.0	24297343.0	24289120.0	48586463.0	48572414.0	0.0	48572414.0	48586463.0	13744381.0	405855.0	0.0	4621119.0	0.0	6807155822.0	3404387080.0	3402768742.0	6807155822.0	6774267977.0	0.0	1929255985.0	15624091.0	0.002306388	140.0	140.0	140.0	150.0	150.0	150.0	35.9	250.7	190.2	20400593.0	3885614.0	0.0	0.0	100.0	100.0	99.97108453850613	0.0	99.97108453850613	100.0	28.28849879440699	0.8353252633351803	0.0
WT7005R1D4	35141375.0	0.0	35141375.0	1.0	17574574.0	17566801.0	35141375.0	35130924.0	0.0	35130924.0	35141375.0	11116794.0	264763.0	0.0	3032234.0	0.0	4846856819.0	2424205907.0	2422650912.0	4846856819.0	4821731866.0	0.0	1542943373.0	11347810.0	0.002353472	137.0	138.0	138.0	150.0	150.0	150.0	35.9	226.8	158.9	14332279.0	3233183.0	0.0	0.0	100.0	100.0	99.97026012784076	0.0	99.97026012784076	100.0	31.63448783663132	0.7534224258441794	0.0
WT7005R3D3	68868388.0	0.0	68868388.0	1.0	34440458.0	34427930.0	68868388.0	68848534.0	0.0	68848534.0	68868388.0	20600044.0	407854.0	0.0	4906824.0	0.0	9887830483.0	4945111751.0	4942718732.0	9887830483.0	9841332340.0	0.0	2972005238.0	23408521.0	0.002378593	143.0	144.0	144.0	150.0	150.0	150.0	35.8	261.8	174.9	30360272.0	4063995.0	0.0	0.0	100.0	100.0	99.97117109812415	0.0	99.97117109812415	100.0	29.912191352584006	0.5922223705889559	0.0
WT7005R3D4	68567732.0	0.0	68567732.0	1.0	34287098.0	34280634.0	68567732.0	68550252.0	0.0	68550252.0	68567732.0	20492941.0	339777.0	0.0	4140544.0	0.0	9805428006.0	4903303033.0	4902124973.0	9805428006.0	9759508826.0	0.0	2942780634.0	23701049.0	0.002428508	143.0	143.0	143.0	150.0	150.0	150.0	35.8	252.5	159.2	29882474.0	4392652.0	0.0	0.0	100.0	100.0	99.97450695904598	0.0	99.97450695904598	100.0	29.887150124784647	0.4955348384572498	0.0
WT7005R4D3	9769310.0	0.0	9769310.0	1.0	4885538.0	4883772.0	9769310.0	9766060.0	0.0	9766060.0	9769310.0	2603249.0	119144.0	0.0	1353294.0	0.0	1338123409.0	669226501.0	668896908.0	1338123409.0	1331068059.0	0.0	359302681.0	3457268.0	0.002597364	136.0	137.0	137.0	150.0	150.0	150.0	35.9	254.6	341.2	3930658.0	952372.0	0.0	0.0	100.0	100.0	99.96673255327141	0.0	99.96673255327141	100.0	26.647214593456447	1.2195743609323484	0.0
