[2023-04-24 05:00:50,971] multiqc                                            [DEBUG  ]  Skipping search patterns: picard/alignment_metrics, picard/basedistributionbycycle, picard/gcbias, picard/hsmetrics, picard/insertsize, picard/oxogmetrics, picard/pcr_metrics, picard/quality_by_cycle, picard/quality_score_distribution, picard/quality_yield_metrics, picard/rnaseqmetrics, picard/rrbs_metrics, picard/sam_file_validation, picard/variant_calling_metrics, picard/wgs_metrics, rseqc/gene_body_coverage, rseqc/read_gc
[2023-04-24 05:01:03,933] multiqc                                            [DEBUG  ]  Summary of files that were skipped by the search: [skipped_no_match: 1160]
[2023-04-24 05:01:04,500] multiqc.plots.bargraph                             [DEBUG  ]  Using matplotlib version 3.5.3
[2023-04-24 05:01:04,501] multiqc.plots.linegraph                            [DEBUG  ]  Using matplotlib version 3.5.3
[2023-04-24 05:01:05,689] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-rnaseq-methods-description: Found 1 sample (html)
[2023-04-24 05:01:05,689] multiqc.modules.custom_content.custom_content      [INFO   ]  software_versions: Found 1 sample (html)
[2023-04-24 05:01:05,689] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-rnaseq-summary: Found 1 sample (html)
[2023-04-24 05:01:05,689] multiqc.modules.custom_content.custom_content      [INFO   ]  star_salmon_deseq2_pca: Found 36 samples (scatter)
[2023-04-24 05:01:05,689] multiqc                                            [DEBUG  ]  multiqc_star_salmon_deseq2_clustering-plot could not be saved as tsv/csv. Falling back to YAML.
[2023-04-24 05:01:05,720] multiqc.modules.custom_content.custom_content      [INFO   ]  star_salmon_deseq2_clustering: Found 36 samples (heatmap)
[2023-04-24 05:01:26,089] multiqc.modules.custom_content.custom_content      [INFO   ]  dupradar: Found 36 samples (linegraph)
[2023-04-24 05:01:26,089] multiqc.modules.custom_content.custom_content      [INFO   ]  DupInt: Found 36 General Statistics columns
[2023-04-24 05:01:29,198] multiqc.modules.picard.picard                      [INFO   ]  Found 36 MarkDuplicates reports
[2023-04-24 05:01:32,143] multiqc.modules.qualimap.qualimap                  [INFO   ]  Found 36 RNASeq reports
[2023-04-24 05:01:34,791] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 36 read_distribution reports
[2023-04-24 05:01:35,978] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 36 inner_distance reports
[2023-04-24 05:01:39,201] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 36 read_duplication reports
[2023-04-24 05:01:42,488] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 36 junction_annotation reports
[2023-04-24 05:01:44,075] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 36 junction_saturation reports
[2023-04-24 05:01:44,889] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 36 infer_experiment reports
[2023-04-24 05:01:44,924] multiqc.modules.rseqc.rseqc                        [INFO   ]  Found 36 bam_stat reports
[2023-04-24 05:01:47,266] multiqc.modules.samtools.samtools                  [INFO   ]  Found 36 stats reports
[2023-04-24 05:01:47,313] multiqc.modules.samtools.samtools                  [INFO   ]  Found 36 flagstat reports
[2023-04-24 05:01:52,250] multiqc.modules.samtools.samtools                  [INFO   ]  Found 36 idxstats reports
[2023-04-24 05:01:52,322] multiqc.modules.star.star                          [INFO   ]  Found 36 reports
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT701R4D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/3270R4D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT70R4D3_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT701R4D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/3270R1D4_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/WT70R1D3_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2023-04-24 05:01:54,352] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping './trimgalore/fastqc/32G0R3D4_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
