Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
WT701R1D4	30923156	32727598	25688880	21547867	24360370	1130.52	0	0	0.0	0	0	0.0	3286712	696489	211.91	11997028	92020	7.67	5.49	5.0	9088663	337116	37.09	16.93	13.68	7038718	74.43372410037547	0.0	0.0	2.128139681989494	0.2811694277105212	0.4879918165702231	0.5234786860923921	1.0300664289508812	1.3616886885496453	1.4076773981396375	21.506980133403008	5212487	17086826	11614	67688	7343417	17234855	15051	108532
WT701R3D4	33819967	35483120	28380509	21547867	27057312	1255.68	0	0	0.0	0	0	0.0	3286712	672908	204.74	11997028	116505	9.71	6.38	5.7	9088663	320278	35.24	16.74	13.51	7102611	76.25403854001564	0.0	0.0	1.8964172259936556	0.3283392215791622	0.5226400609641993	0.5507238371372077	0.902620739100733	1.2422329265295724	1.2819475852179854	20.016872811635505	5212487	17086826	9965	68944	7343417	17234855	14092	120505
WT701R4D4	16674701	17610894	13329104	21547867	12451751	577.86	0	0	0.0	0	0	0.0	3286712	437574	133.13	11997028	61905	5.16	3.58	3.3	9088663	239665	26.37	12.01	9.7	4281790	70.70482055027985	0.0	0.0	2.484677949909868	0.3515153745176139	0.5908785777712364	0.6421252663266271	1.3608905941969782	1.7949741790507627	1.8550733426707358	24.313302890812924	5212487	17086826	9025	42154	7343417	17234855	10584	76446
WT70R1D3	37405498	39307015	30864979	21547867	29111480	1351.01	0	0	0.0	0	0	0.0	3286712	913219	277.85	11997028	147557	12.3	8.76	8.09	9088663	383822	42.23	20.18	16.72	8442036	74.06179278686005	0.0	0.0	2.3232977624986275	0.37539609660005985	0.6483168462423311	0.7056730204519474	0.9764720114208622	1.3517383601883788	1.4320624448333203	21.47717398535605	5212487	17086826	22545	107277	7343417	17234855	31573	147506
WT70R1D4	31438731	33035079	25414179	21547867	23797026	1104.38	0	0	0.0	0	0	0.0	3286712	770136	234.32	11997028	156222	13.02	9.36	8.77	9088663	376185	41.39	19.61	16.22	7620900	72.03562612942443	0.0	0.0	2.331267317387072	0.47289731015930064	0.823872708159711	0.9107288649135665	1.1387440605182146	1.562817512862615	1.653263792709562	23.069113895565376	5212487	17086826	28693	115945	7343417	17234855	29879	140093
WT70R3D3	35776350	37649425	29163023	21547867	27389612	1271.11	0	0	0.0	0	0	0.0	3286712	900007	273.83	11997028	154037	12.84	9.5	8.82	9088663	388301	42.72	20.45	16.96	8486402	72.74908448136989	0.0	0.0	2.390493347507963	0.4091350664717987	0.7342502574740517	0.8032632636487809	1.0313597086808097	1.4300191835599083	1.516570306186615	22.54058860128674	5212487	17086826	25983	122404	7343417	17234855	32586	150093
WT70R3D4	35302332	37084469	28310153	21547867	26497371	1229.7	0	0	0.0	0	0	0.0	3286712	903194	274.8	11997028	169954	14.17	10.27	9.59	9088663	385622	42.43	20.58	17.25	8774316	71.4513965401527	0.0	0.0	2.4355047391941893	0.45828888637990206	0.8057793681770123	0.8864465606882492	1.0398477055179083	1.460527856014333	1.566299897674145	23.66035226229072	5212487	17086826	29915	128865	7343417	17234855	39225	156007
WT70R4D3	17041902	17930613	13802519	21547867	12895102	598.44	0	0	0.0	0	0	0.0	3286712	475041	144.53	11997028	77127	6.43	4.64	4.37	9088663	190525	20.96	10.07	8.39	4128094	71.9166823800168	0.0	0.0	2.649329389909871	0.43014145695967004	0.7531588574244505	0.8354761769717521	1.062568245714745	1.4788228377914354	1.5759081967805562	23.02260385632103	5212487	17086826	14760	57919	7343417	17234855	17408	74637
WT70R4D4	17005285	18089369	13961649	21547867	12912882	599.26	0	0	0.0	0	0	0.0	3286712	613454	186.65	11997028	76379	6.37	4.78	4.64	9088663	187321	20.61	9.52	8.21	4127720	71.38381664943647	0.0	0.0	3.3912404573094834	0.42223142222373816	0.7690539122730041	0.8793396828822498	1.0355308689871934	1.3860350794989036	1.5271179442467009	22.818485266125094	5212487	17086826	19950	62738	7343417	17234855	25521	63404
WTG0R1D3	43609090	45739546	36598168	21547867	34834303	1616.6	0	0	0.0	0	0	0.0	3286712	876954	266.82	11997028	144105	12.01	8.35	7.71	9088663	418496	46.05	22.68	18.49	9141378	76.15795530633382	0.0	0.0	1.9172774473974883	0.3150555976222414	0.5308316790026731	0.5783988323801902	0.9149544247771939	1.3052665629868736	1.3606475236986393	19.98572089018986	5212487	17086826	21757	98695	7343417	17234855	25331	178527
WTG0R1D4	36959786	38766873	30715390	21547867	29192287	1354.76	0	0	0.0	0	0	0.0	3286712	728098	221.53	11997028	122995	10.25	7.57	6.96	9088663	378499	41.65	20.09	16.53	8051483	75.30214521042231	0.0	0.0	1.8781447758244518	0.31726830275942036	0.5681397104171905	0.6153320645696649	0.9763464801507203	1.3641492312263617	1.4354007866458562	20.768977162537716	5212487	17086826	18295	97255	7343417	17234855	27622	150339
WTG0R3D3	38588383	40756443	32193401	21547867	30520593	1416.41	0	0	0.0	0	0	0.0	3286712	808946	246.13	11997028	112187	9.35	7.59	7.26	9088663	416545	45.83	21.81	18.26	8563042	74.88532058599912	0.0	0.0	1.984829736000269	0.2752619996794126	0.5417989985043592	0.6108359358052909	1.0220347246691768	1.4085772892398878	1.508735686281553	21.010278055913762	5212487	17086826	28137	108631	7343417	17234855	40821	157541
WTG0R3D4	33785904	35745485	27656450	21547867	26142968	1213.25	0	0	0.0	0	0	0.0	3286712	708797	215.66	11997028	90319	7.53	6.54	6.52	9088663	412686	45.41	20.84	17.26	8089035	73.13641988631572	0.0	0.0	1.982899378760702	0.2526724703833225	0.532419688808251	0.6257013997711879	1.1545122411963358	1.5348343993654023	1.6254500393546207	22.629529295797777	5212487	17086826	33344	99997	7343417	17234855	32391	135948
WTG0R4D3	32233627	33838353	27384715	21547867	26087223	1210.66	0	0	0.0	0	0	0.0	3286712	673948	205.05	11997028	106553	8.88	5.96	5.65	9088663	268888	29.58	15.47	12.77	6453638	77.09365464684407	0.0	0.0	1.9916690389747989	0.31488825712055196	0.5123239892910864	0.5723239544194128	0.7946249629820931	1.203545574455116	1.2703898443284163	19.071962515433302	5212487	17086826	20303	66809	7343417	17234855	22619	138372
WTG0R4D4	36018952	37754047	30006685	21547867	28532496	1324.14	0	0	0.0	0	0	0.0	3286712	713800	217.18	11997028	117067	9.76	7.31	6.85	9088663	356592	39.23	18.89	15.61	7747362	75.57466885603019	0.0	0.0	1.8906582385724104	0.3100780162720039	0.5629780563657188	0.6223703646922938	0.9445133127052578	1.316995234974412	1.3916892141390829	20.52061332656602	5212487	17086826	22423	95480	7343417	17234855	28200	140627
