Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
3270R3D3_1 - Adapter 1	2125494	706840	301438	157186	132233	115068	114476	115832	106455	110445	112126	115895	117556	123537	125678	126361	129607	120097	112739	115881	114096	118300	120589	123247	124908	123504	123351	116291	116799	109259	103987	106648	106313	110904	108976	106510	100135	94810	93298	89479	84623	104897	58110	81347	130039	36608	76190	373927	69678	11100	102828	52955	7451	53192	59859	17309	15049	6415	27505	2879	5473	24691	6790	3308	12317	22713	2331	7360	8227	10397	1068	783	2993	6042	8491	9451	9427	8647	7886	7451	6454	5732	5386	4848	4486	4306	3895	3588	3194	3062	2769	2509	2225	2103	1874	1739	1768	1748	1964	2371	6219	31642	414267	6439111	118895	15795	7113	4912	3420	2655	2124	1568	1149	968	760	666	491	529	451	358	323	215	184	184	96	87	94	83	83	93	47	58	49	57	83	65	145	231	155	175	548	146	216	187	257	973	1149	1802	19697	3907863
3270R3D3_2 - Adapter 1	2116297	713726	301445	156196	132565	115316	118312	123599	95649	113198	109703	116833	117298	127825	120927	127015	130193	113401	137762	107490	102519	117710	118235	140319	144200	105962	105252	121439	110176	117897	97496	124163	104934	100705	102057	105090	100834	95406	94078	84544	82756	80645	76823	78518	77862	78701	70995	66321	64301	56791	55364	52187	49229	50917	44481	45829	49830	34366	34771	36149	29570	27731	39503	22095	20791	19956	23119	21949	17848	19355	19697	16796	21016	15366	29412	48303	14058	10405	9124	8994	8324	9874	25327	16845	25632	14770	8435	6594	4765	3885	3310	2960	2475	2463	2083	1839	2679	6866	17724	51047	47443	67149	434276	6108186	112195	14909	6834	4752	3274	2559	2044	1514	1115	939	715	635	478	504	417	332	315	193	169	168	91	81	74	70	72	86	42	46	43	41	78	48	75	145	85	142	353	73	119	48	48	700	92	49	225	34986
3270R3D4_1 - Adapter 1	2410865	782494	302582	136918	108908	91449	88842	90810	82657	85385	86469	88631	88103	91763	93977	94467	95068	87638	82623	83877	83634	85005	86244	87489	87557	85744	86755	80363	80711	74729	70050	71912	71191	73563	71447	69268	67264	62508	60530	58587	55871	67925	37574	52830	85064	23704	49531	257183	47919	7713	69800	36539	5158	36238	41811	12112	10486	4501	19215	2074	3867	17616	4895	2522	9113	17133	1794	5717	6516	8266	994	840	2517	5177	6977	7597	7860	7213	6666	6270	5727	5081	4771	4443	4130	4261	3787	3442	3127	3239	2752	2470	2197	2013	1817	1734	1566	1592	1601	1657	3078	9846	149992	3152234	44687	8534	4983	3608	2855	2311	1861	1426	1175	959	848	819	645	1198	662	458	1025	332	306	367	167	150	114	131	100	184	91	117	76	105	174	122	299	593	431	311	1357	307	438	416	629	2111	2835	4706	51541	10706672
3270R3D4_2 - Adapter 1	2400906	790145	302771	135919	109077	91613	92233	97131	73555	87730	84779	89302	88103	95489	90409	94406	100387	78085	102559	75910	75173	84474	84856	98099	99308	72688	77979	81954	78310	74925	71595	74278	74570	67437	70714	67795	67352	68699	63387	52100	52359	51532	50025	50227	50937	50974	45109	43036	42044	37497	36141	34409	32389	33408	30397	30878	33658	23593	24635	25331	20826	19668	28263	16153	15532	14634	17495	16752	13754	15558	17576	14952	17822	12502	16741	24476	9193	7798	7119	6989	6697	7194	15286	10838	15219	9506	6256	4875	3866	3503	2954	2642	2373	2123	1943	1742	2063	4214	9607	25339	23453	27793	162830	2985762	42453	8098	4732	3493	2724	2222	1790	1379	1139	930	805	776	623	1141	649	446	957	317	278	335	157	146	103	110	85	164	84	82	59	59	151	64	98	348	215	201	725	108	212	104	101	1392	175	92	378	58258
3270R4D3_1 - Adapter 1	1775730	579382	226063	101979	81642	68605	67610	69447	63510	65759	67121	69491	70485	72436	74813	75217	77166	71256	68069	70035	69838	71781	74002	74515	76252	75035	76147	71423	73724	69200	66648	68535	69075	71588	68821	70558	67478	67276	64311	60496	58494	62086	55897	59554	91901	27770	55470	188560	56431	15704	86410	35873	11930	57061	64129	25288	24405	10593	34093	5290	7019	26487	12036	4765	14224	26047	3220	10080	10135	12038	1107	994	3623	6608	8009	8659	8662	7877	7313	6551	5990	5382	4947	4376	4036	4026	3532	3230	2951	2623	2430	2192	1908	1731	1501	1333	1201	1127	974	935	805	712	699	1166	476	487	435	354	396	367	269	230	211	201	195	247	158	199	179	119	145	101	187	95	72	85	74	74	56	100	60	91	109	89	112	96	116	516	273	301	922	349	449	415	630	2503	2985	4817	51696	11122799
3270R4D3_2 - Adapter 1	1769874	579918	224844	101277	81926	68554	70234	73454	57313	66941	66270	70252	69913	76772	70920	74793	84589	60077	80143	64267	66548	71467	72393	77171	89914	62473	72968	72240	72054	70354	66593	70067	67132	71883	73735	67154	69219	65996	67912	58653	52017	56936	55685	56464	56687	57740	52820	50001	48543	44474	43129	41259	38644	39579	36668	36944	39838	29304	29705	29675	25013	23633	32265	19435	18122	17307	20316	19251	15845	17424	19635	15504	19239	12668	7865	2332	5680	7032	6748	6148	5736	5185	4891	4286	4005	3792	3353	3104	2828	2460	2315	2155	1838	1687	1454	1294	1197	1116	977	943	795	722	686	1165	456	474	400	362	393	351	261	225	198	208	193	223	166	199	167	115	119	85	163	85	61	65	44	67	43	77	40	61	73	36	70	42	51	306	152	201	602	181	164	74	75	1710	224	92	326	50120
3270R4D4_1 - Adapter 1	1749493	569010	216654	94225	73701	61527	60413	60803	56391	57744	58518	59502	60700	62433	63961	63591	65145	59666	56327	57646	56671	57827	59383	59930	60259	58472	58806	54828	55604	51953	49265	49907	50368	52301	48528	50523	46742	46273	43707	40759	38768	41207	36460	38725	58868	18302	34741	117266	34041	9595	51570	21415	9837	40279	40612	15083	15152	6531	21922	3501	4982	17122	7453	2960	9035	17007	2041	6674	6767	8206	872	884	2556	4512	5588	5996	5821	5570	4988	4662	4191	3898	3452	3251	3097	2932	2694	2563	2249	2120	1869	1650	1608	1336	1233	1058	1031	955	857	757	660	641	656	866	504	465	375	387	340	359	297	216	242	190	207	233	201	223	163	184	172	122	177	106	58	75	76	74	81	99	65	83	88	63	91	91	129	508	260	375	917	345	477	433	641	2410	3111	4993	53660	11005387
3270R4D4_2 - Adapter 1	1744898	572571	216607	94228	73906	61678	62691	65307	50122	59088	57483	60235	60229	65206	61541	63493	71810	50148	69029	52719	51447	57552	58192	64500	69303	50795	53343	56853	52945	53734	48311	51559	50924	49714	49529	52443	55663	42092	37070	38754	38222	38065	36078	36754	36913	36725	33577	31379	30587	27285	26745	25207	24081	24662	22649	22690	24157	17764	18090	18706	15632	14786	20644	11925	11473	10978	13019	12540	10531	12443	15810	11944	13213	8828	5425	1718	3844	4902	4688	4409	3987	3783	3407	3167	3051	2757	2556	2442	2137	1995	1738	1626	1551	1288	1194	1031	1006	952	858	770	653	627	632	880	480	452	362	398	322	341	305	211	235	192	204	221	196	229	148	172	147	125	157	91	50	68	51	56	57	67	38	59	66	40	50	56	64	303	164	269	598	175	197	76	67	1593	215	110	412	66509
32G0R1D3_1 - Adapter 1	4527030	1469853	561536	249294	200963	167341	164323	169101	156324	163922	165390	167657	167491	171141	173357	175693	179963	168043	160139	165998	164589	166272	168804	168649	169357	167713	167531	158929	159834	152292	147383	151396	147445	150146	148417	142622	143552	138824	128348	128439	117840	118509	121678	106826	171537	46527	94309	105733	90538	74884	88645	75777	65909	69519	74629	59344	67612	57949	52951	43874	33225	46029	46180	31488	27958	55937	30441	41174	24425	19484	2339	3359	9130	12428	12968	12380	11857	10899	9850	8778	7815	7071	6541	5758	5186	4774	4332	4132	3680	3371	3035	2717	2377	2201	1861	1658	1479	1358	1347	1228	1436	3932	40076	566480	12188	1948	1053	800	675	543	436	371	308	337	266	225	230	257	220	166	240	136	162	163	84	96	73	108	78	72	79	62	55	56	69	60	58	178	91	117	275	116	152	138	222	448	978	1607	17029	3622201
32G0R1D3_2 - Adapter 1	4502940	1477955	561498	250086	202077	167481	169571	180805	141488	167532	162688	169271	166331	178235	167756	175872	197707	142381	196679	152276	148530	165306	166175	190768	196436	143055	144726	165783	151518	167064	135971	176416	145637	138220	139089	144645	139294	135239	132218	123003	119640	117063	110199	111384	109925	109887	100218	93678	90825	82466	80509	76908	71453	72624	63416	63250	68751	48384	50122	50523	41693	38752	53781	29916	28852	27231	30539	29239	23439	25125	24998	20945	26565	18349	12886	6377	8250	9694	9229	8443	7615	7175	8341	6876	7648	5854	4703	4331	3734	3421	2991	2710	2388	2213	1866	1687	1545	1784	2573	4830	4585	6502	41266	540143	11554	1848	1027	796	670	544	420	377	316	344	276	241	253	250	224	171	238	142	161	151	71	100	64	86	86	77	61	32	55	47	44	45	34	119	66	78	187	65	74	35	30	217	54	33	93	10876
