Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
WT7005R1D3_1 - Adapter 1	4083191	1357696	527910	221336	174444	148058	145302	150857	141393	147692	148501	150869	149740	152569	154397	156345	162438	152532	146234	152179	151755	152841	154410	153952	154806	152569	156657	149279	158027	146471	144807	145639	146086	145158	141175	137585	137857	134763	125169	126869	116476	117976	120965	105732	168210	46599	94224	107057	92636	78651	92221	77894	69466	73861	79808	64017	73753	63433	58736	48917	37814	52984	52477	36334	32959	64453	35588	48278	29182	23318	2508	3716	11124	14754	15880	15913	14710	13735	12546	11446	10353	9429	8529	7899	6896	6248	5745	5043	4775	4146	3686	3390	2933	2701	2257	2120	1799	1606	1418	1364	1247	1024	997	1751	713	612	622	504	483	398	372	299	242	258	249	228	211	227	180	152	140	97	113	114	67	97	89	79	86	58	60	54	41	47	43	40	49	101	60	68	211	88	69	69	111	326	456	653	6981	1295931
WT7005R1D3_2 - Adapter 1	4066949	1362752	529858	221460	175174	148191	150911	160777	127428	151496	145305	151408	149381	157994	149734	156317	177408	129863	180341	138944	136654	151946	151917	171007	179446	131454	136872	154476	150439	148676	145510	154396	154257	134712	133406	140980	141952	127356	126671	122660	115551	117884	108348	110321	108684	107738	99811	94624	92574	86574	83055	79282	74874	76974	67903	67950	73739	53578	55437	56030	47813	44322	61306	35303	33396	31468	35848	34470	28069	29624	27114	24748	32987	22273	14008	4180	9313	11802	11619	10875	9832	9046	8404	7642	6854	6080	5600	4828	4618	4085	3590	3334	2918	2577	2212	2062	1769	1612	1441	1399	1246	996	955	1727	705	625	606	495	489	394	363	306	252	255	256	241	218	237	183	145	140	96	108	99	81	103	73	74	78	61	57	44	46	41	45	32	43	78	51	76	144	67	41	28	24	223	81	37	78	11513
WT7005R1D4_1 - Adapter 1	2827305	928178	358264	161202	129631	111091	109074	112507	105559	109477	111694	113781	113764	117173	118947	120726	124451	117022	112748	117207	116672	119471	122768	122554	124187	122685	126423	120995	125153	119619	114635	119436	117762	121273	119781	115819	117709	115016	109436	110281	103157	102818	108018	96613	157220	42541	88000	101064	87381	74189	88037	75160	67592	71993	77922	63730	73861	64488	58753	49587	38101	53421	54263	37515	33754	66974	38268	51368	31785	25845	3115	4351	12269	15385	16909	16529	15739	14406	13364	12159	10541	9677	8985	8034	7190	6689	6138	5510	4895	4537	4010	3534	3046	2785	2453	2188	1845	1762	1508	1378	1282	1169	1048	2905	792	615	630	555	481	405	318	314	337	260	231	260	229	279	308	261	245	207	280	176	121	141	111	149	132	142	106	126	152	122	161	149	231	868	465	368	2022	515	769	652	1077	2418	5174	8307	89688	20025801
WT7005R1D4_2 - Adapter 1	2833770	934810	359542	161653	130311	111091	112519	119405	96498	111855	109672	114723	112859	122186	114719	120485	136279	99310	136771	107416	107024	118657	120701	132363	143029	105276	115916	124206	120153	121129	115549	118089	120075	118269	117548	122135	112783	117617	106126	111354	101361	102310	97313	100411	100411	101133	92915	89285	87593	81168	79180	75784	73039	75750	65559	67381	75957	52663	55422	56986	47431	44863	65287	34890	33789	32314	37995	35609	28984	31964	31668	27707	34613	23060	14413	4463	10354	12569	12263	11499	10052	9311	8851	7856	7143	6337	5874	5286	4632	4256	3818	3427	2947	2720	2389	2097	1824	1733	1521	1413	1292	1108	1027	2857	779	592	588	531	468	392	335	318	325	254	225	243	215	246	272	208	188	144	208	121	81	104	73	82	88	100	69	82	108	56	97	83	86	401	196	196	946	168	282	113	110	1087	173	104	391	57350
WT7005R3D3_1 - Adapter 1	6361067	2131278	782923	327629	250497	204498	199898	203983	188096	194197	193444	193328	189885	192195	190845	190431	193088	180002	169767	173340	168434	167378	167095	164142	161695	156901	155651	146654	145338	138832	131081	131718	128819	129410	124226	118959	111359	106951	104228	102052	97201	118173	64275	88485	140260	38209	80214	416008	78230	12321	114200	58945	8325	60456	66347	19082	17163	7174	31828	3385	6336	28775	7976	4029	14408	26540	2829	8678	10114	12464	1229	876	3463	7711	10161	11342	11080	10275	9644	8781	7955	7190	6509	5804	5527	5051	4452	4088	3702	3288	3117	2831	2512	2238	1967	1803	1532	1480	1327	1278	1184	1809	14593	282161	4673	1305	944	749	652	561	552	425	348	360	317	305	227	275	247	172	209	134	134	144	87	138	101	110	87	86	74	61	66	54	62	57	78	111	60	91	207	110	95	118	109	264	499	583	6464	1190027
WT7005R3D3_2 - Adapter 1	6315939	2140433	778881	325053	250541	204396	206295	216214	169906	199022	189410	193734	190589	196791	184582	191651	186774	177380	191215	170631	158417	165924	163991	172476	183389	136816	146737	150154	139816	138798	133922	131084	130052	122708	125510	120312	119891	106183	102003	96735	94375	92709	83327	85452	84063	81513	75858	70589	69350	64553	60948	58713	55377	56770	49283	49826	53988	37591	40556	41655	34564	32045	46761	25876	24496	23068	27505	25966	21139	22431	21106	18857	25671	16470	10683	5100	7677	9276	9101	8407	7707	7183	7270	6239	6378	5438	4595	4134	3678	3275	3081	2798	2492	2224	1927	1777	1555	1719	1996	3454	2894	3383	15621	267927	4491	1281	918	751	615	546	557	432	376	357	325	300	243	274	242	181	206	139	126	150	110	138	113	113	101	85	55	40	63	38	57	49	63	91	51	78	175	77	74	62	48	165	129	72	81	9221
WT7005R3D4_1 - Adapter 1	6255453	2064192	772078	324588	249764	207200	203426	209899	195131	201122	203006	203762	200098	203254	202101	204106	207089	193667	184752	191080	186383	186164	185196	183342	181890	177319	177242	166501	169008	159288	153399	152314	151057	150291	144556	142531	126235	125232	121093	118397	114240	137492	76328	98080	141695	57818	91883	439338	88902	14664	130990	62865	9134	63620	69865	19875	17759	7501	33002	3385	6713	29030	7938	4035	14556	26178	2833	8362	9657	11909	1208	864	3305	7144	9615	10177	10129	9318	8695	7841	7033	6354	5890	5011	4732	4250	3793	3410	3156	2856	2617	2307	2117	1805	1617	1366	1325	1191	1095	976	1033	1781	18350	363321	5650	1353	975	798	651	553	440	366	343	279	281	249	215	233	200	176	168	155	148	119	91	137	105	95	84	65	83	69	70	52	61	62	64	78	51	78	118	57	48	64	66	238	267	318	3380	554577
WT7005R3D4_2 - Adapter 1	6255082	2074772	774118	323076	251020	207247	210838	225608	172777	205574	199424	205036	199659	210258	193986	205114	207643	183084	224068	178346	168078	184992	182146	205487	210261	151954	152724	174242	159008	172426	143503	175353	146893	141883	133034	133579	136518	127595	113810	121860	103894	106914	100187	98795	96002	94525	85148	80577	77603	71016	68401	64834	60637	61175	53527	54024	58180	40700	42958	42647	36087	32836	45644	26503	25064	23628	26468	24944	20579	21456	20159	18013	23977	15725	10618	5252	7237	8494	8248	7564	6958	6403	6981	5633	5842	4764	4008	3538	3174	2895	2621	2276	2136	1800	1607	1370	1436	1517	2010	3746	3413	3695	19688	344851	5389	1316	952	764	646	566	435	356	350	273	285	235	207	234	181	178	169	138	149	115	102	138	96	89	89	60	82	59	62	48	52	64	63	94	48	62	110	65	45	34	35	190	88	55	63	8725
WT7005R4D3_1 - Adapter 1	784105	252507	101950	46992	37767	32145	31997	32892	30622	31343	32878	33503	33081	34727	35258	35821	37048	34612	32895	34861	34440	37510	36901	37134	37875	37456	40092	36910	41718	36582	34468	36263	35574	37243	34857	36702	33383	33904	32885	31093	29818	32016	28495	30776	47052	14860	28444	107915	31511	8674	48643	20648	6380	31999	38245	14503	13974	6137	20144	3079	4267	16490	7188	2869	8770	16361	2155	6621	7035	8583	1084	1122	2897	4295	5603	6091	5974	5373	5020	4693	4176	3940	3656	3344	3109	2987	2702	2564	2207	2208	2003	1702	1547	1352	1180	1025	965	892	877	743	640	645	594	1024	441	377	320	328	318	293	279	223	187	176	176	218	154	252	242	190	252	146	205	108	95	75	77	84	93	127	106	125	132	130	169	122	223	734	386	432	1370	445	600	584	901	3044	4063	6762	75448	15096114
WT7005R4D3_2 - Adapter 1	802918	255011	102993	46808	37788	32141	33224	34913	27503	32482	32000	33632	33144	35959	34216	35740	40396	29394	40982	31833	30906	37334	36108	41383	44070	32368	34838	38627	39433	36998	34778	38456	37437	34030	34263	36720	35775	31763	32056	30319	28944	29740	27669	28863	28767	29086	26997	25641	25376	22920	22574	21673	20605	21878	20117	20398	22762	16276	16697	17451	14863	14683	19903	11680	11132	10783	12328	12230	10854	13170	19131	13864	13958	8360	5488	1754	3857	4640	4670	4402	3994	3786	3626	3279	3086	2733	2503	2421	2064	2017	1914	1617	1488	1312	1162	1003	949	888	866	754	633	623	579	1027	432	365	325	324	307	280	259	212	185	176	163	195	139	229	216	163	202	109	171	88	65	60	59	48	66	101	67	88	95	58	120	64	93	488	243	262	855	183	236	113	99	1907	190	107	541	87969
WT7005R4D4_1 - Adapter 1	2948682	998565	376104	161993	126780	106046	104995	107168	99678	103789	105815	106674	107145	111311	111831	112111	115168	108194	104609	107012	106186	107418	109657	110700	111735	109809	110568	104903	106141	102590	97802	101543	101780	105363	99431	99998	95779	94548	92249	88466	84730	88897	78945	83940	128605	38196	75345	256861	76531	21627	120114	50359	17175	79605	89063	34048	34002	14659	48246	7606	9765	37593	17236	6534	19931	36226	4527	14101	14171	16078	1301	1192	4732	9001	11327	11826	11766	10862	10296	9247	8322	7666	7056	6403	5922	5363	4865	4477	4172	3683	3232	2995	2712	2533	2255	2013	1754	1604	1432	1326	1164	1116	1097	1794	802	671	642	529	606	495	458	422	354	312	302	281	317	276	242	228	211	165	166	121	108	98	84	81	64	97	69	61	69	70	142	73	82	243	143	374	497	256	303	224	350	1985	1558	2249	23983	4838005
WT7005R4D4_2 - Adapter 1	2925017	1002298	375843	160475	127073	106323	108395	113557	90891	106242	103850	107651	106514	115948	107608	112004	127137	90925	127535	97777	96770	106894	107544	120086	128944	93422	101115	108445	101123	104130	98300	100894	103101	101175	101107	103667	93577	97625	85400	91298	81313	82639	78686	80564	79670	79689	72415	68948	68060	61925	61229	57624	55278	56708	48941	50283	55869	38758	40585	43180	34967	32828	48738	25484	24785	23937	28128	26553	21440	23408	22134	19544	25794	16999	10355	3406	7869	9651	9527	8812	8047	7425	6928	6307	5873	5184	4710	4345	4019	3590	3148	2941	2655	2446	2205	1954	1749	1604	1452	1338	1186	1070	1076	1765	794	652	642	533	590	481	453	413	349	314	294	287	307	276	237	215	216	166	145	120	95	77	63	78	61	96	53	52	53	47	127	59	50	152	85	340	329	181	176	70	93	1650	211	58	140	23530
WT701R1D4_1 - Adapter 1	3992250	1281664	529885	234196	192115	164865	162693	171239	159040	165791	167405	171396	172189	174119	181555	181562	188836	181401	165957	179945	177077	181860	185050	184515	187945	186266	191831	181938	196395	182177	185219	181139	189458	181841	183448	185879	166159	177050	166727	155489	164038	176374	129247	145835	230104	63521	135347	293410	138256	64726	193977	85207	51759	150211	165918	81837	89984	43381	107193	26368	24760	79799	50580	19151	43170	83648	13058	34212	30476	31920	2243	2852	10693	18236	21366	22124	20819	19352	18195	16350	14893	13777	12302	11246	10409	9296	8444	7853	7118	6593	5992	5476	4860	4397	3875	3575	3192	3015	2972	3049	5571	24309	286607	4036022	82944	10512	4688	3397	2424	1952	1473	1211	929	791	643	685	483	589	460	369	356	234	243	213	147	151	118	113	116	130	78	99	88	78	106	89	100	188	130	115	410	111	150	131	172	752	673	1129	12516	1887835
WT701R1D4_2 - Adapter 1	4047520	1292234	533285	235216	193054	164819	168790	182093	143586	170087	163943	173193	169628	183522	173095	182895	209454	147310	211968	162904	160757	179772	182295	201388	226327	160921	165041	190508	184629	201981	169564	215432	184336	170649	168420	177474	173726	169639	166797	154292	153004	152727	145270	145704	143757	146511	131971	126880	125862	115974	111122	106567	101241	106568	90628	93692	105013	70708	76128	78620	64901	59999	85620	48587	46633	45358	50646	48245	39496	42787	39896	34683	45979	32560	31674	36038	19023	18922	17999	16609	15643	15835	24477	18844	24020	15738	11103	9116	7652	6974	6100	5675	4953	4483	3965	3579	3765	5864	11815	31484	29846	45886	298725	3833209	78257	9938	4492	3320	2352	1901	1423	1193	898	778	623	682	448	560	417	329	301	196	214	176	113	124	98	98	70	127	78	88	74	64	104	86	68	128	97	98	297	68	88	53	56	574	78	44	173	24552
WT701R3D4_1 - Adapter 1	3919248	1311045	487182	210828	165697	137805	135658	139223	128282	133558	135451	136236	136044	138533	139530	140633	142154	133550	127108	130929	128227	128850	129684	129444	129772	126611	126651	120938	120195	114302	108883	110711	109339	111024	107872	105668	98482	95071	93089	90593	87465	107312	58935	81057	129881	36123	76223	404370	75011	11854	110439	57852	8013	58142	65426	18643	16415	7017	30920	3304	6123	28305	7862	4060	14602	26855	2835	8902	10125	12794	1274	944	3597	7853	11067	12056	11871	11159	10329	9574	8761	7994	7265	6866	6157	5556	5119	4811	4402	3909	3579	3198	2888	2660	2306	2081	1870	1714	1566	1527	1637	2717	27537	557962	8552	2077	1398	1128	950	767	693	581	453	463	352	356	280	325	283	257	210	165	150	121	84	116	117	95	91	135	54	52	48	76	63	53	78	129	75	112	253	100	127	106	113	462	480	644	7661	1342144
WT701R3D4_2 - Adapter 1	3909413	1317809	488513	209938	166031	137933	141033	148106	114606	135831	133697	137591	135377	145712	132026	140701	146703	121925	149897	120154	121765	128278	126971	134256	153137	105114	121229	120960	118163	116212	108856	113642	106077	111877	110040	101092	100635	96945	99723	85901	76556	82410	78563	77976	77362	77940	70293	66873	65620	59782	57848	56041	52141	53353	47239	48416	52039	37631	40037	40350	34180	31880	44986	26153	24884	23548	27710	26330	21535	22770	22397	19988	26841	17696	12992	7350	8677	10148	9714	9230	8620	8142	8981	7848	7961	6437	5379	4954	4414	3955	3572	3188	2904	2623	2259	2041	1938	2187	2999	5705	5305	5848	30009	528636	8142	1996	1350	1093	923	765	694	568	452	454	343	358	273	305	286	247	219	155	154	96	87	105	97	89	87	119	60	52	53	51	48	56	59	106	64	84	226	67	77	71	60	370	102	58	102	18528
WT701R4D4_1 - Adapter 1	2412936	757722	295243	132348	104495	87431	86361	89488	84328	87092	89271	88359	88707	91038	92069	92831	94954	89570	86510	88352	86503	89295	91099	89164	89053	87103	90000	84323	88753	82636	76898	78775	75588	76789	76779	73460	70490	67984	65513	62827	59247	55919	58653	52802	83489	23618	44960	72766	44944	25488	57814	31728	21973	39602	50001	29413	34847	20864	34584	12580	11279	27674	21334	9984	14813	32845	7517	14608	12164	12488	1663	1920	4869	6219	6892	6990	7049	6307	5924	5595	4988	4598	4350	3944	3637	3628	3266	3096	2991	2877	2575	2413	2137	1972	1827	1701	1674	1679	1713	1938	3923	19156	234400	3355104	69161	8448	3822	2709	1945	1570	1314	985	732	621	499	568	456	593	470	406	437	307	362	232	194	165	140	150	125	189	127	121	191	144	161	138	163	583	286	399	1097	365	453	438	575	2216	2628	4266	48303	10004401
WT701R4D4_2 - Adapter 1	2460432	765214	296661	132480	104731	87517	89189	95631	75911	88971	87470	89529	88004	94589	88846	92667	104891	75056	106388	80761	77823	88840	88503	101741	102781	74855	76629	88528	83758	90545	70281	93300	75102	71300	69771	72458	70373	66499	65717	59734	58536	56201	53123	53375	52853	51564	46637	44045	43804	39003	38277	36169	33481	34620	30660	30517	33242	23483	23737	24962	20917	19528	27306	15186	14486	13610	15928	15081	13051	16076	23577	15855	16298	10870	13064	18983	7973	6728	6205	6075	5747	6498	15448	11071	18006	10768	6427	5709	4286	3593	2877	2629	2257	2151	1958	1761	2108	4253	8767	23620	21936	34072	246072	3195138	65084	8033	3659	2624	1860	1494	1281	931	713	616	469	533	426	525	396	325	344	207	286	162	135	124	98	117	96	161	106	90	182	112	128	93	108	422	200	332	793	192	241	130	70	1544	192	106	537	83607
WT70R1D3_1 - Adapter 1	4414394	1485756	579639	265615	213912	182546	180510	183119	170312	176141	180441	181979	184147	189328	193418	195252	199198	186654	177493	182448	181709	183613	186671	188445	190217	187775	190579	178743	181549	171495	162963	168815	166959	171254	169467	162069	162834	156707	145942	143659	134174	131896	137858	122759	198839	53782	109785	123443	106259	88085	103946	87941	78109	83032	89838	72729	84775	72409	66528	55861	42533	58335	59414	40916	37089	72874	40289	54678	33249	26312	2696	4027	12226	16714	17850	17639	16488	15368	14122	12633	11128	10095	9066	8239	7432	6565	6115	5504	4915	4451	3886	3365	2953	2584	2422	2091	1816	1630	1439	1281	1200	1052	898	1878	685	560	498	506	471	427	348	281	252	245	273	200	215	231	195	152	172	151	124	111	83	91	62	80	74	72	42	55	58	44	57	37	53	111	65	78	160	68	69	73	88	376	338	485	5830	955642
WT70R1D3_2 - Adapter 1	4397127	1490053	578654	264753	214303	182713	186511	194585	155014	180075	177099	182610	183507	194324	188065	196048	192648	184332	197689	180358	172175	181920	183624	197213	216465	163952	180526	182946	174584	171750	166328	167818	169596	164331	172249	168054	169950	147838	146637	137154	133834	132621	121317	127304	126929	125373	117938	109679	105681	97358	93804	89703	84352	86272	76458	77365	85059	60636	63255	63397	54024	48893	69422	39403	37960	35688	40947	39035	31828	32835	31012	27637	36688	24357	15087	4546	10529	13338	13012	11946	10648	9672	8911	8014	7369	6371	5893	5348	4748	4325	3751	3336	2871	2522	2365	2014	1796	1645	1463	1291	1178	1008	912	1840	682	537	495	494	427	437	331	284	255	261	242	213	219	218	193	156	145	142	126	100	77	96	67	71	57	74	42	66	56	39	50	37	33	91	54	56	152	67	55	34	43	309	75	35	71	14173
WT70R1D4_1 - Adapter 1	3905775	1268903	493251	220831	176869	149449	147229	149923	139221	143170	145836	149820	152416	157114	160938	162077	166383	154470	146242	150501	148870	153441	156967	159843	162797	161463	161894	153064	155709	147824	140507	144664	144309	149322	148761	145145	145933	140113	131951	130914	118632	122723	132952	106340	168260	67019	105405	114895	103512	85661	100262	85032	75049	80963	88641	72773	83146	71988	66321	55152	42430	59708	59744	41644	38124	77115	42710	58064	35026	27844	3116	4529	13707	18311	19456	19257	18642	17166	15908	14116	12704	11371	10134	9440	8448	7859	6978	6378	5898	5242	4609	4236	3763	3084	2716	2396	2186	1947	1828	1646	1365	1464	3607	36921	1340	787	675	669	580	448	430	361	317	294	290	319	257	272	253	232	215	186	171	179	84	114	72	89	61	117	63	71	63	82	99	73	82	304	141	196	444	164	211	206	226	1170	1056	1576	20505	3854167
WT70R1D4_2 - Adapter 1	3910734	1274553	493010	221375	178517	149341	151933	161637	124610	145977	143600	151193	151193	163642	155074	161983	181720	131400	177923	138581	135076	152098	154653	178233	188299	138544	141679	159743	146758	158807	132233	165623	141113	143865	138844	143682	148082	137557	125586	133447	114856	120692	114707	118089	118335	119381	110623	104588	101245	92895	90327	86281	81421	83591	75465	77322	83261	61155	62139	62843	53616	49896	68484	40388	39221	37360	42796	41084	33261	34725	34256	30199	40233	27317	17330	5181	12025	14961	14699	13357	12115	11014	10038	9357	8480	7665	6806	6145	5656	5098	4479	4081	3680	2980	2665	2337	2181	1978	1917	1899	1544	1599	3608	35183	1283	762	654	667	560	453	426	341	307	278	284	323	236	282	245	226	191	153	175	154	88	103	58	83	74	100	40	61	55	61	91	42	66	255	118	153	384	104	111	77	57	918	159	89	341	55296
WT70R3D3_1 - Adapter 1	4182338	1365935	534977	242943	195039	165100	162671	167944	153286	158689	163149	167357	172015	174675	183342	179611	185883	180414	160542	171792	168450	176768	180715	182100	188631	186558	188273	179331	183406	174022	165740	172678	172004	178410	182884	182416	165075	171101	164435	151354	162943	171607	126431	145406	236253	66289	141630	305466	142434	66091	200395	89567	53507	157994	179554	87040	97959	46189	112900	28272	26047	86401	55079	20358	46227	92938	14324	36874	33318	33346	2317	3224	11861	20494	24239	24721	23911	22100	20304	18429	16579	14721	13439	12082	10884	10024	9018	8218	7326	6731	6016	5131	4636	3941	3701	3163	2685	2571	2303	2023	1781	1580	1602	4052	1061	945	830	740	678	573	505	465	398	339	393	381	330	368	288	254	213	185	182	172	122	101	85	80	83	122	60	72	72	60	99	73	65	211	115	147	435	170	148	148	197	860	804	1296	14027	2137736
WT70R3D3_2 - Adapter 1	4159692	1371215	535356	242598	196244	165343	169193	177899	137740	163419	158960	167966	170137	183524	175453	180957	205468	147557	204972	154454	153371	174673	177655	197291	225460	160742	164546	184689	174350	176263	167235	182533	184000	167725	169469	178083	181595	160590	160367	153259	147692	149943	140747	145949	147842	149533	138120	131031	128932	117501	114510	110479	104109	108936	96770	99696	111804	76695	80702	82653	70054	64466	92121	53350	50873	48884	56929	53199	44443	45981	43490	38831	51734	34869	21556	6790	15673	19399	18853	17316	15822	14216	13174	11793	10830	9683	8744	7857	7087	6595	5765	5017	4546	3812	3604	3071	2655	2558	2329	2083	1760	1557	1560	3955	1036	916	803	733	681	575	492	452	399	344	380	378	289	352	284	232	187	175	160	159	107	95	91	72	58	111	55	67	56	58	88	58	52	150	95	117	336	109	90	55	45	684	109	70	200	30883
WT70R3D4_1 - Adapter 1	4903149	1604503	616973	269796	213914	180748	177083	181954	166769	173256	177693	180201	187380	190134	197631	195198	200061	193484	173278	183593	181677	188957	193164	196316	201345	199258	200451	191291	192130	183064	175362	182398	182472	188534	193227	193413	174533	180554	171973	158340	169735	177690	132489	152670	246783	66909	145814	307236	143865	66636	200911	89182	54990	158160	175568	87032	96458	45772	110300	27670	25700	83452	53971	19742	44177	87059	13829	35178	31250	32344	2563	3361	11471	18550	21256	21647	21069	18844	17251	15643	13741	12459	10830	9998	9129	8180	7338	6693	6171	5529	4706	4231	3635	3327	2684	2469	2193	2013	1844	1573	1403	1332	1350	4135	856	709	695	580	587	495	453	353	319	335	297	316	260	381	330	310	262	216	256	183	153	130	141	150	111	203	111	143	105	142	216	148	214	986	309	337	1435	412	553	551	871	2086	3924	6477	66057	11812322
WT70R3D4_2 - Adapter 1	4869181	1611982	613899	270356	215664	181334	183116	192199	152180	177736	174171	181816	184246	200663	188279	196704	221151	158571	216850	166486	167730	186758	190109	209185	236066	170818	184115	195862	184270	185686	176507	181055	186382	186311	186201	195590	176488	185545	159777	167784	152794	154273	148582	153330	154439	156375	141943	135650	133145	119546	115497	110943	106069	111541	95737	100421	112762	72723	77975	81554	66863	63191	91754	48336	47413	46027	53541	49452	40238	43219	43658	38005	46930	30484	18207	5959	14034	16685	15967	14846	13118	11996	10568	9791	8971	7771	7067	6454	5907	5255	4451	4090	3539	3212	2670	2349	2161	2010	1851	1617	1389	1309	1292	4076	825	691	652	576	584	479	456	353	322	328	280	318	259	379	327	270	244	201	240	192	126	129	115	127	81	176	76	101	69	92	149	88	93	525	186	190	802	157	191	96	95	1029	189	109	385	54436
WT70R4D3_1 - Adapter 1	1971919	648772	246785	108095	85115	70534	69072	69712	64752	66630	67543	69203	69514	72615	72982	72768	73963	68212	64918	65883	65492	65807	67511	68947	68928	67723	66800	62354	63149	58748	55722	57579	57334	59484	55087	55605	52576	51341	48860	46052	43588	45445	39783	43332	65208	19632	37792	127971	37848	10558	57359	23989	8069	37318	42713	16354	15955	6640	22188	3413	4602	16967	7784	2988	8994	16751	2048	6544	6733	8517	1045	1038	2743	4095	5203	5443	5445	4857	4444	4063	3611	3404	3108	2772	2549	2529	2176	2081	1938	1835	1617	1429	1247	1131	1004	891	753	769	734	640	623	518	488	873	387	373	288	311	330	262	245	215	167	179	178	224	186	180	175	152	160	103	199	106	73	93	61	86	72	99	68	88	83	82	105	79	80	560	241	254	882	340	493	468	657	2470	3241	5212	55658	11537401
WT70R4D3_2 - Adapter 1	1951508	649742	247397	107936	85075	70501	71488	73621	59069	68385	66055	69389	69593	74353	71040	73015	71314	67466	73020	64880	61987	65270	66284	72392	78372	58809	63219	64421	60336	58735	57031	57387	57860	56151	58238	56461	56535	48278	47719	44399	42726	42553	38279	41326	40239	39843	36899	34133	32978	29790	28836	27183	25801	26011	23757	23861	25659	18403	18928	19200	16054	14713	21496	12264	11238	10925	12790	12212	10353	12654	18427	13349	13241	7701	4757	1465	3504	4291	4150	3823	3450	3306	3091	2728	2463	2331	2074	1976	1841	1669	1491	1394	1219	1126	978	866	760	763	737	660	602	521	482	902	377	365	292	307	327	267	241	213	167	174	173	220	184	182	169	144	150	90	204	93	57	89	43	66	52	89	42	68	45	54	67	42	44	348	143	152	572	137	179	83	63	1600	161	87	208	37697
WT70R4D4_1 - Adapter 1	2475337	829447	322750	147128	116193	98868	97803	98548	89194	92709	95327	95545	98077	103033	104193	104901	106568	99484	93352	95395	93085	95092	97988	98783	100999	98928	99224	90896	93479	86896	83492	85253	85927	89012	83211	85035	80048	78957	75297	69884	67179	70079	62811	63984	91981	39666	61064	202015	68710	18524	100046	40525	12909	62684	72998	27881	26523	11768	38966	5955	7800	30690	13429	5226	16500	30613	3679	11779	12036	14254	1328	1454	4482	7755	10214	10632	10806	9653	9557	8671	7501	7004	6481	5925	5280	5122	4408	4525	3882	3607	3118	2835	2488	2271	2028	1811	1631	1524	1481	1372	1264	1448	6293	74863	1904	851	719	661	596	553	473	418	381	414	334	444	301	431	342	289	261	194	286	208	96	107	100	103	100	177	100	110	86	78	149	94	136	532	333	330	885	339	420	317	496	3158	2063	3275	38376	7281878
WT70R4D4_2 - Adapter 1	2483536	834556	322790	146579	116880	98861	101245	105073	79878	94836	93576	96630	97435	107503	99949	104661	117278	83642	114798	87421	83589	94570	96049	111584	116977	84158	86008	95774	87350	93576	78258	97354	83297	84664	80341	82209	84138	76709	69664	73924	62126	64361	61137	63325	63267	63292	58300	54857	53601	49093	46881	44740	42428	43560	39653	40968	43400	32615	32699	33465	28325	26656	37083	21844	21052	20164	23390	22906	19004	21574	24990	20041	23671	14964	9845	3388	7287	8477	8942	8174	7227	6770	6698	5897	5630	4983	4273	4387	3743	3483	2963	2720	2393	2226	1969	1771	1632	1557	1663	1802	1607	1679	6345	71625	1814	872	724	638	572	518	477	421	370	401	323	425	287	437	332	271	250	174	283	200	74	112	93	82	80	158	67	97	72	63	124	63	89	442	267	286	701	197	245	85	125	2666	301	142	501	85001
WTG0R1D3_1 - Adapter 1	5294430	1714781	637908	272944	211497	174410	170871	179085	165826	172520	174126	176187	173347	177229	178765	180625	184874	174250	166419	172932	171884	173774	172462	173074	173783	170091	172287	162982	163627	158248	152733	157314	151027	152425	151140	143174	144429	137060	135280	134664	120841	122258	123431	109667	171452	49827	98524	103626	93753	84199	90209	81657	72643	73351	77155	65568	71049	66473	54876	53427	42476	51724	52436	40874	33965	60674	45199	57190	30886	25046	3021	3868	12125	16622	17702	17390	16130	15169	14066	12848	11581	10501	9633	8635	7711	7000	6533	5866	5366	4870	4516	3906	3489	3087	2814	2370	2289	2001	1800	1602	1404	1151	1111	1139	881	826	769	634	618	563	454	374	340	358	294	300	296	237	236	194	227	177	169	202	82	115	111	115	94	90	81	38	64	59	45	56	50	79	49	67	161	63	65	65	86	204	260	331	3483	596720
WTG0R1D3_2 - Adapter 1	5268421	1722063	640146	271680	211745	174590	177632	189677	149420	177197	170240	176856	173897	183147	172712	180785	202508	147590	206128	157567	154686	171850	170713	192158	200973	145456	149571	168705	156413	160035	153540	164087	161361	142692	142509	148072	150120	132288	133093	126775	121346	121738	112107	114741	113191	111717	102102	96915	94909	86951	85108	81151	76064	77189	69265	69099	73905	54142	55992	57412	48868	45386	63618	36731	34978	33250	38162	35874	29639	31757	29300	26473	36179	24247	15087	4489	10228	13150	12955	12094	11116	10069	9482	8441	7703	6785	6350	5736	5196	4726	4386	3807	3460	3000	2732	2319	2279	1989	1834	1638	1404	1146	1093	1093	882	827	769	629	619	553	469	357	341	356	292	304	295	239	251	188	242	180	164	200	83	114	103	107	97	76	72	37	66	49	50	56	45	63	45	69	139	61	36	47	53	151	80	52	53	8725
