Sample	x	y
WT7005R1D3	-46.3176614527186	-15.5525025662932
WT7005R1D4	-36.224808410233	-35.7194449006164
WT7005R3D3	-56.3345759148368	-13.0044351359836
WT7005R3D4	-43.2492212299786	-8.87157253270036
WT7005R4D3	-29.4705604806853	-22.3285293022848
WT7005R4D4	-2.96305639944465	-68.0576340815941
WT701R1D4	22.0183197075252	80.7025484552217
WT701R3D4	-47.9019736608537	-19.2324498356397
WT701R4D4	56.9184350263663	99.7270609997612
WT70R1D3	79.4271009217509	-14.7303642443983
WT70R1D4	46.9696576295186	-37.5568742406232
WT70R3D3	79.8308467337918	-8.32133552266946
WT70R3D4	71.1648774742968	-30.7454874846233
WT70R4D3	67.0000743047049	-25.8483557325143
WT70R4D4	69.6009809999708	-29.2595348866772
WTG0R1D3	-48.0483143879801	13.0431145915055
WTG0R1D4	-55.0021316194326	-14.1633037335573
WTG0R3D3	-59.0593245857102	20.0888886611958
WTG0R3D4	-64.1132375166519	19.3264382120474
WTG0R4D3	-42.1165282762877	29.6983651876619
WTG0R4D4	-44.5873660141633	-0.387616969443932
X32701R1D4	-30.3972184902789	18.1003072364611
X32701R3D4	-54.771015210578	-21.1242979077397
X32701R4D4	-35.6074425324197	-41.75363654486
X3270R1D3	74.1533820021087	-21.6385538513382
X3270R1D4	50.9408788755081	-38.9026743321056
X3270R3D3	109.426735483585	93.7065889489295
X3270R3D4	71.3476465076212	14.9811854398708
X3270R4D3	81.2338142691857	-20.681651444905
X3270R4D4	76.5879126094943	-37.7811757262965
X32G0R1D3	-31.0653023629455	37.4156130130562
X32G0R1D4	-29.3721745353568	58.7529105328103
X32G0R3D3	-52.3472023973167	13.6659896965047
X32G0R3D4	-54.203883759679	-6.77812407122953
X32G0R4D3	-40.9705465103218	36.4913289436187
X32G0R4D4	-52.4971167975561	-3.26078487055142
